Symbol,Series,Security Name,Band,Remarks
CROWN,SM,Crown Lifters Limited,5,-
CUBEXTUB,BE,Cubex Tubings Limited,5,-
CURATECH,EQ,Cura Technologies Limited,5,-
CYBERMEDIA,BE,Cyber Media (India) Limited,5,-
DELTAMAGNT,EQ,Delta Magnets Limited,5,-
DOLLAR,BE,Dollar Industries Limited,5,-
DQE,BE,DQ Entertainment (International) Limited,5,-
DSKULKARNI,BE,DS Kulkarni Developers Limited,5,-
DSSL,EQ,Dynacons Systems & Solutions Limited,5,-
DUCON,EQ,Ducon Infratechnologies Limited,5,-
EASUNREYRL,BE,Easun Reyrolle Limited,5,-
EIMCOELECO,EQ,Eimco Elecon (India) Limited,5,-
EMAMIINFRA,BE,Emami Infrastructure Limited,5,-
ESSDEE,BE,Ess Dee Aluminium Limited,5,-
EUROCERA,BE,Euro Ceramics Limited,5,-
EUROMULTI,BE,Euro Multivision Limited,5,-
FACT,EQ,Fertilizers and Chemicals Travancore Limited,5,-
FCSSOFT,BE,FCS Software Solutions Limited,5,-
FIRSTWIN,BE,First Winner Industries Limited,5,-
FOCUS,SM,Focus Lighting and Fixtures Limited,5,-
GANGOTRI,EQ,Gangotri Textiles Limited,5,-
GEMINI,BE,Gemini Communication Limited,5,GSM - Stage II
GISOLUTION,BE,GI Engineering Solutions Limited,5,-
GLFL,BE,Gujarat Lease Financing Limited,5,GSM - Stage II
GLOBOFFS,EQ,Global Offshore Services Limited,5,-
GOENKA,BZ,Goenka Diamond and Jewels Limited,5,-
GOKEX,BE,Gokaldas Exports Limited,5,-
GOKUL,EQ,Gokul Refoils and Solvent Limited,5,-
GOLDENTOBC,BE,Golden Tobacco Limited,5,GSM - Stage I
GOLDINFRA,BE,Goldstone Infratech Limited,5,-
GOLDTECH,BE,Goldstone Technologies Limited,5,-
GREENFIRE,BE,Green Fire Agri Commodities Limited,5,GSM - Stage I
GTNTEX,BE,GTN Textiles Limited,5,-
HINDDORROL,BE,Hindustan Dorr-Oliver Limited,5,GSM - Stage II
HINDSYNTEX,BE,Hind Syntex Limited,5,GSM - Stage II
HITECH,SM,Hi-Tech Pipes Limited,5,-
HMT,BZ,HMT Limited,5,-
HOCL,BE,Hindustan Organic Chemicals Limited,5,-
HOTELRUGBY,BE,Hotel Rugby Limited,5,GSM - Stage II
IBVENTURES,EQ,Indiabulls Ventures Limited,5,-
IITL,EQ,Industrial Investment Trust Limited,5,-
IMFA,EQ,Indian Metals & Ferro Alloys Limited,5,-
INDOWIND,EQ,Indowind Energy Limited,5,-
INDSWFTLTD,BE,Ind-Swift Limited,5,-
INFOMEDIA,BE,Infomedia Press Limited,5,GSM - Stage II
INTEGRA,BE,Integra Garments and Textiles Limited,5,GSM - Stage II
ITI,EQ,ITI Limited,5,-
JAIBALAJI,EQ,Jai Balaji Industries Limited,5,-
JAIHINDPRO,EQ,Jaihind Projects Limited,5,-
JAINSTUDIO,BE,Jain Studios Limited,5,"Transferred to trade for trade pursuant to NSE Circular NSE/CML/21490 dated August 14, 2012 (Less than 50% Non Promoter shareholding in dematerialized form)"
JENSONICOL,BE,Jenson & Nicholson (India) Limited,5,GSM - Stage I
JETFREIGHT,SM,Jet Freight Logistics Limited,5,-
JHS,BE,JHS Svendgaard Laboratories Limited,5,-
JIKIND,BE,JIK Industries Limited,5,GSM - Stage II
JINDALPHOT,BE,Jindal Photo Limited,5,-
JITFINFRA,BE,JITF Infralogistics Limited,5,-
KALYANI,BE,Kalyani Commercials Limited,5,-
KALYANIFRG,BE,Kalyani Forge Limited,5,"Transferred to trade for trade pursuant to NSE Circular NSE/CML/16300 dated November 15, 2010 (Less than 50% Non Promoter shareholding in dematerialized form)."
KERNEX,BE,Kernex Microsystems (India) Limited,5,-
KEYCORPSER,EQ,Keynote Corporate Services Limited,5,-
KHAITANELE,BE,KHAITAN ELECTRICALS LTD.,5,GSM - Stage I
KHAITANLTD,BE,Khaitan (India) Limited,5,-
KHANDSE,EQ,Khandwala Securities Limited,5,-
KILITCH,BE,Kilitch Drugs (India) Limited,5,-
KIOCL,EQ,KIOCL Limited,5,-
KREBSBIO,BE,Krebs Biochemicals and Industries Limited,5,-
KRIDHANINF,BE,Kridhan Infra Limited,5,-
KSERASERA,BE,KSS Limited,5,-
KSK,BE,KSK Energy Ventures Limited,5,-
LCCINFOTEC,BE,LCC Infotech Limited,5,-
LFIC,BE,Lakshmi Finance & Industrial Corporation Limited,5,-
LGBFORGE,BE,LGB Forge Limited,5,GSM - Stage II
LIQUIDBEES,EQ,Reliance ETF Liquid BeES,5,-
LYCOS,BE,Lycos Internet Limited,5,-
MADRASFERT,BE,Madras Fertilizers Limited,5,-
MALUPAPER,EQ,Malu Paper Mills Limited,5,-
MALWACOTT,BE,Malwa Cotton Spg. Mills Limited,5,-
MANAKALUCO,BE,Manaksia Aluminium Company Limited,5,-
MANAKINDST,BE,Manaksia Industries Limited,5,-
MANDHANA,EQ,Mandhana Industries Limited,5,-
MASKINVEST,BE,Mask Investments Limited,5,-
MCL,SM,Madhav Copper Limited,5,-
MELSTAR,BE,Melstar Information Technologies Limited,5,GSM - Stage I
METKORE,BE,Metkore Alloys & Industries Limited,5,-
MITCON,SM,MITCON Consultancy & Engineering Services Limited,5,-
MOTOGENFIN,BE,The Motor & General Finance Limited,5,-
