Symbol,Series,Security Name,Band,Remarks
BLKASHYAP,EQ,B. L. Kashyap and Sons Limited,20,-
BLUEBLENDS,EQ,Blue Blends (I) Limited,20,-
BLUEDART,EQ,Blue Dart Express Limited,20,-
BLUESTARCO,EQ,Blue Star Limited,20,-
BODALCHEM,EQ,Bodal Chemicals Limited,20,-
BOHRA,SM,Bohra Industries Limited,20,-
BOMDYEING,EQ,Bombay Dyeing & Mfg Company Limited,20,-
BPL,EQ,Bpl Limited,20,-
BRFL,EQ,Bombay Rayon Fashions Limited,20,-
BRIGADE,EQ,Brigade Enterprises Limited,20,-
BROOKS,EQ,Brooks Laboratories Limited,20,-
BSE,EQ,BSE Limited,20,-
BSL,EQ,BSL Limited,20,-
BSLGOLDETF,EQ,Birla Sun Life Mutual Fund - Birla Sun Life Gold ETF - Growth,20,-
BSLNIFTY,EQ,Birla Sun Life Mutual Fund - Birla Sun Life Nifty ETF - Growth,20,-
BURNPUR,EQ,Burnpur Cement Limited,20,-
BUTTERFLY,EQ,Butterfly Gandhimathi Appliances Limited,20,-
BYKE,EQ,The Byke Hospitality Ltd,20,-
CAMLINFINE,EQ,Camlin Fine Sciences Limited,20,-
CANTABIL,EQ,Cantabil Retail India Limited,20,-
CAPCO,IT,Capco Industries Limited,20,-
CAPLIPOINT,EQ,Caplin Point Laboratories Limited,20,-
CAPTRUST,EQ,Capital Trust Limited,20,-
CARBORUNIV,EQ,Carborundum Universal Limited,20,-
CAREERP,EQ,Career Point Limited,20,-
CARERATING,EQ,Credit Analysis And Research Limited,20,-
CASTEXTECH,EQ,Castex Technologies Limited,20,-
CCHHL,EQ,Country Club Hospitality & Holidays Limited,20,-
CCL,EQ,CCL Products (India) Limited,20,-
CEBBCO,EQ,Commercial Engineers & Body Builders Co Limited,20,-
CELEBRITY,EQ,Celebrity Fashions Limited,20,-
CELESTIAL,EQ,Celestial Biolabs Limited,20,-
CENTENKA,EQ,Century Enka Limited,20,-
CENTRALBK,EQ,Central Bank of India,20,-
CENTUM,EQ,Centum Electronics Limited,20,-
CENTURYPLY,EQ,Century Plyboards (India) Limited,20,-
CERA,EQ,Cera Sanitaryware Limited,20,-
CGCL,EQ,Capri Global Capital Limited,20,-
CHAMBLFERT,EQ,Chambal Fertilizers & Chemicals Limited,20,-
CHENNPETRO,EQ,Chennai Petroleum Corporation Limited,20,-
CHROMATIC,EQ,Chromatic India Limited,20,-
CIGNITITEC,EQ,Cigniti Technologies Limited,20,-
CINELINE,EQ,Cineline India Limited,20,-
CKPPRODUCT,SM,CKP Products Limited,20,-
CLEDUCATE,EQ,CL Educate Limited,20,-
CLNINDIA,EQ,Clariant Chemicals (India) Limited,20,-
CMICABLES,EQ,CMI Limited,20,-
CNOVAPETRO,EQ,CIL Nova Petrochemicals Limited,20,-
COFFEEDAY,EQ,Coffee Day Enterprises Limited,20,-
COMPINFO,EQ,Compuage Infocom Limited,20,-
COMPUSOFT,EQ,Compucom Software Limited,20,-
CONSOFINVT,EQ,Consolidated Finvest & Holdings Limited,20,-
CONTROLPR,EQ,Control Print Limited,20,-
CORDSCABLE,EQ,Cords Cable Industries Limited,20,-
COROMANDEL,EQ,Coromandel International Limited,20,Nifty Alpha 50 Index
CORPBANK,EQ,Corporation Bank,20,-
COSMOFILMS,EQ,Cosmo Films Limited,20,-
COUNCODOS,EQ,Country Condo's Limited,20,-
COX&KINGS,EQ,Cox & Kings Limited,20,-
CPSEETF,EQ,CPSE ETF,20,-
CRISIL,EQ,CRISIL Limited,20,-
CRMFGETF,EQ,Canara Robeco Mutual Fund - Canara Robeco - Gold ETF,20,-
CROMPTON,EQ,Crompton Greaves Consumer Electricals Limited,20,NIFTY MidSmallcap 400
CUB,EQ,City Union Bank Limited,20,NIFTY 200/NIFTY Full Midcap 100
CUPID,EQ,Cupid Limited,20,-
CYBERTECH,EQ,Cybertech Systems And Software Limited,20,-
CYIENT,EQ,Cyient Limited,20,-
DAAWAT,EQ,LT Foods Limited,20,-
DALMIASUG,EQ,Dalmia Bharat Sugar and Industries Limited,20,-
DAMODARIND,EQ,Damodar Industries Limited,20,-
DATAMATICS,EQ,Datamatics Global Services Limited,20,-
DBCORP,EQ,D.B.Corp Limited,20,-
DBL,EQ,Dilip Buildcon Limited,20,NIFTY 500 Index/NIFTY Full Smallcap 100/ NIFTY MidSmallcap 400
DBREALTY,EQ,D B Realty Limited,20,-
DCM,EQ,DCM  Limited,20,-
DCMSHRIRAM,EQ,DCM Shriram Limited,20,-
DCW,EQ,DCW Limited,20,-
DECCANCE,EQ,Deccan Cements Limited,20,-
DEEPAKFERT,EQ,Deepak Fertilizers And Petrochemicals Corporation Limited,20,-
DEEPAKNTR,EQ,Deepak Nitrite Limited,20,-
DEEPIND,EQ,Deep Industries Limited,20,-
DELTACORP,EQ,Delta Corp Limited,20,Nifty High Beta 50 Index
DEN,EQ,Den Networks Limited,20,-
DENABANK,EQ,Dena Bank,20,-
DENORA,EQ,De Nora India Limited,20,-
DEVIT,SM,Dev Information Technology Limited,20,-
DFMFOODS,EQ,DFM Foods Limited,20,-
DHAMPURSUG,EQ,Dhampur Sugar Mills Limited,20,-
DHANBANK,EQ,Dhanlaxmi Bank Limited,20,-
DHANUKA,EQ,Dhanuka Agritech Limited,20,-
DHARSUGAR,EQ,Dharani Sugars & Chemicals Limited,20,-
DICIND,EQ,DIC India Limited,20,-
DIGJAMLTD,EQ,Digjam Limited,20,-
DISHMAN,EQ,Dishman Pharmaceuticals and Chemicals Limited,20,-
DLINKINDIA,EQ,D-Link (India) Limited,20,-
DMART,EQ,Avenue Supermarts Limited,20,-
DOLPHINOFF,EQ,Dolphin Offshore Enterprises (India) Limited,20,-
DONEAR,EQ,Donear Industries Limited,20,-
DPL,EQ,Dhunseri Petrochem Limited,20,-
DPSCLTD,EQ,DPSC Limited,20,-
DREDGECORP,EQ,Dredging Corporation of India Limited,20,-
DRL,SM,Dhanuka Realty Limited,20,-
DTIL,EQ,Dhunseri Tea & Industries Limited,20,-
DWARKESH,EQ,Dwarikesh Sugar Industries Limited,20,-
DYNAMATECH,EQ,Dynamatic Technologies Limited,20,-
EBANK,EQ,Edelweiss ETF - Nifty Bank,20,-
ECEIND,EQ,ECE Industries Limited,20,-
ECLERX,EQ,eClerx Services Limited,20,-
EDELWEISS,EQ,Edelweiss Financial Services Limited,20,Nifty High Beta 50 Index
EDL,EQ,Empee Distilleries Limited,20,-
EDUCOMP,EQ,Educomp Solutions Limited,20,-
EIDPARRY,EQ,EID Parry India Limited,20,-
EIFFL,SM,Euro India Fresh Foods Limited,20,-
EIHAHOTELS,EQ,EIH Associated Hotels Limited,20,-
EIHOTEL,EQ,EIH Limited,20,-
EKC,EQ,Everest Kanto Cylinder Limited,20,-
ELAND,EQ,E-Land Apparel Limited,20,-
ELECON,EQ,Elecon Engineering Company Limited,20,-
ELECTCAST,EQ,Electrosteel Castings Limited,20,-
ELECTCAST,W1,Electrosteel Castings Limited,20,-
ELGIEQUIP,EQ,Elgi Equipments Limited,20,-
ELGIRUBCO,EQ,Elgi Rubber Company Limited,20,-
ELITE,IT,Elite Conductors Limited,20,-
EMAMILTD,EQ,Emami Limited,20,-
EMCO,EQ,Emco Limited,20,-
EMKAY,EQ,Emkay Global Financial Services Limited,20,-
EMKAYTOOLS,SM,Emkay Taps and Cutting Tools Limited,20,-
EMMBI,EQ,Emmbi Industries Limited,20,-
ENDURANCE,EQ,Endurance Technologies Limited,20,NIFTY 500 Index/ NIFTY Midcap 150/ NIFTY 200/ NIFTY Free float Smallcap 100/NIFTY MidSmallcap 400/ NIFTY Full Midcap 100
ENIL,EQ,Entertainment Network (India) Limited,20,-
EON,EQ,Eon Electric Limited,20,-
EQ30,EQ,Edelweiss Mutual Fund - Edelweiss ETF - Nifty Quality 30,20,-
EROSMEDIA,EQ,Eros International Media Limited,20,-
ESABINDIA,EQ,Esab India Limited,20,-
ESSARSHPNG,EQ,Essar Shipping Limited,20,-
ESSELPACK,EQ,Essel Propack Limited,20,-
EUROTEXIND,EQ,Eurotex Industries and Exports Limited,20,-
EVEREADY,EQ,Eveready Industries India Limited,20,-
EVERESTIND,EQ,Everest Industries Limited,20,-
EXCEL,EQ,Excel Realty N Infra Limited,20,-
EXCELCROP,EQ,Excel Crop Care Limited,20,-
EXCELINDUS,EQ,Excel Industries Limited,20,-
FAGBEARING,EQ,FAG Bearings India Limited,20,-
FAIRCHEM,EQ,Fairchem Speciality Limited,20,-
FCL,EQ,Fineotex Chemical Limited,20,-
FCONSUMER,EQ,Future Consumer Limited,20,-
FDC,EQ,FDC Limited,20,-
FEDDERLOYD,EQ,Fedders Lloyd Corporation Limited,20,-
FEL,EQ,Future Enterprises Limited,20,-
FELDVR,EQ,Future Enterprises Limited,20,-
FIEMIND,EQ,Fiem Industries Limited,20,-
FILATEX,EQ,Filatex India Limited,20,-
FINCABLES,EQ,Finolex Cables Limited,20,-
FINPIPE,EQ,Finolex Industries Limited,20,-
FLEXITUFF,EQ,Flexituff International Limited,20,-
FLFL,EQ,Future Lifestyle Fashions Limited,20,-
FMGOETZE,EQ,Federal-Mogul Goetze (India) Limited.,20,NIFTY 500 Index/NIFTY MidSmallcap 400
FOSECOIND,EQ,Foseco India Limited,20,-
FOURTHDIM,SM,Fourth Dimension Solutions Limited,20,-
FRETAIL,EQ,Future Retail Limited,20,NIFTY 500 Index/NIFTY Smallcap 250/NIFTY MidSmallcap 400
FROGCELL,IT,Frog Cellsat Limited,20,-
FSL,EQ,Firstsource Solutions Limited,20,-
GABRIEL,EQ,Gabriel India Limited,20,-
GAEL,EQ,Gujarat Ambuja Exports Limited,20,-
GALLANTT,EQ,Gallantt Metal Limited,20,-
GAMMNINFRA,EQ,Gammon Infrastructure Projects Limited,20,-
GAMMONIND,EQ,Gammon India Limited,20,-
GANDHITUBE,EQ,Gandhi Special Tubes Limited,20,-
GANECOS,EQ,Ganesha Ecosphere Limited,20,-
GANESHHOUC,EQ,Ganesh Housing Corporation Limited,20,-
GARDENSILK,EQ,Garden Silk Mills Limited,20,-
GARWALLROP,EQ,Garware  Wall Ropes Limited,20,-
GATI,EQ,GATI Limited,20,-
GAYAPROJ,EQ,Gayatri Projects Limited,20,-
GDL,EQ,Gateway Distriparks Limited,20,-
GEECEE,EQ,GeeCee Ventures Limited,20,-
GENESYS,EQ,Genesys International Corporation Limited,20,-
GENUSPAPER,EQ,Genus Paper & Boards Limited,20,-
GENUSPOWER,EQ,Genus Power Infrastructures Limited,20,-
GEOJITFSL,EQ,Geojit Financial Services Limited,20,-
GEPIL,EQ,GE Power India Limited,20,-
GESHIP,EQ,The Great Eastern Shipping Company Limited,20,-
GET&D,EQ,GE T&D India Limited,20,-
GHCL,EQ,GHCL Limited,20,NIFTY 500 Index/NIFTY Full Smallcap 100/NIFTY MidSmallcap 400/NIFTY Smallcap 250
GICHSGFIN,EQ,GIC Housing Finance Limited,20,-
GICL,SM,Globe International Carriers Limited,20,-
GILLANDERS,EQ,Gillanders Arbuthnot & Company Limited,20,-
GILLETTE,EQ,Gillette India Limited,20,-
GINNIFILA,EQ,Ginni Filaments Limited,20,-
GIPCL,EQ,Gujarat Industries Power Company Limited,20,-
GIRRESORTS,IT,GIR Natureview Resorts Limited,20,-
GITANJALI,EQ,Gitanjali Gems Limited,20,-
GKWLIMITED,EQ,GKW Limited,20,-
GLAXO,EQ,GlaxoSmithKline Pharmaceuticals Limited,20,-
GLOBALVECT,EQ,Global Vectra Helicorp Limited,20,-
GLOBUSSPR,EQ,Globus Spirits Limited,20,-
GMBREW,EQ,GM Breweries Limited,20,-
GMDCLTD,EQ,Gujarat Mineral Development Corporation Limited,20,Nifty PSE Index
GNA,EQ,GNA Axles Limited,20,-
GNFC,EQ,Gujarat Narmada Valley Fertilizers and Chemicals Limited,20,NIFTY 500 Index/NIFTY Full Smallcap 100/NIFTY Smallcap 250/NIFTY MidSmallcap 400
GOACARBON,EQ,Goa Carbon Limited,20,-
GOCLCORP,EQ,GOCL Corporation Limited,20,-
GODREJPROP,EQ,Godrej Properties Limited,20,-
GOKULAGRO,EQ,Gokul Agro Resources Limited,20,-
GOLDBEES,EQ,Reliance ETF Gold BeES,20,-
GOLDIAM,EQ,Goldiam International Limited,20,-
GOLDIWIN,EQ,ICICI Prudential Gold iWIN ETF,20,-
GOLDSHARE,EQ,UTI Mutual Fund - UTI Gold Exchange Traded Fund,20,-
GOODLUCK,EQ,Goodluck India Limited,20,-
GPIL,EQ,Godawari Power And Ispat limited,20,-
GPPL,EQ,Gujarat Pipavav Port Limited,20,-
GPTINFRA,EQ,GPT Infraprojects Limited,20,-
GRAPHITE,EQ,Graphite India Limited,20,-
GRAVITA,EQ,Gravita India Limited,20,-
GREAVESCOT,EQ,Greaves Cotton Limited,20,-
GREENLAM,EQ,Greenlam Industries Limited,20,-
GREENPLY,EQ,Greenply Industries Limited,20,-
GREENPOWER,EQ,Orient Green Power Company Limited,20,-
GRETEX,SM,Gretex Industries Limited,20,-
GRINDWELL,EQ,Grindwell Norton Limited,20,-
GRPLTD,EQ,GRP Limited,20,-
GRUH,EQ,Gruh Finance Limited,20,-
GSCLCEMENT,EQ,Gujarat Sidhee Cement Limited,20,-
GSKCONS,EQ,GlaxoSmithKline Consumer Healthcare Limited,20,NIFTY Low Volatility 50 Index
GSPL,EQ,Gujarat State Petronet Limited,20,-
GSS,EQ,GSS Infotech Limited,20,-
GTL,EQ,GTL Limited,20,-
GTLINFRA,EQ,GTL Infrastructure Limited,20,-
GTOFFSHORE,EQ,GOL Offshore Limited,20,-
GUFICBIO,EQ,Gufic Biosciences Limited,20,-
GUJALKALI,EQ,Gujarat Alkalies and Chemicals Limited,20,NIFTY 500 Index/NIFTY Smallcap 250/NIFTY MidSmallcap 400
GUJAPOLLO,EQ,Gujarat Apollo Industries Limited,20,-
GUJFLUORO,EQ,Gujarat Fluorochemicals Limited,20,-
GUJGASLTD,EQ,Gujarat Gas Limited,20,-
GUJNRECOKE,EQ,Gujarat NRE Coke Limited,20,-
GUJNRECOKE,W1,Gujarat NRE Coke Limited,20,-
GUJNREDVR,EQ,Gujarat NRE Coke Limited,20,-
GULFOILLUB,EQ,Gulf Oil Lubricants India Limited,20,-
GULFPETRO,EQ,GP Petroleums Limited,20,-
GULPOLY,EQ,Gulshan Polyols Limited,20,-
GVKPIL,EQ,GVK Power & Infrastructure Limited,20,-
HANUNG,EQ,Hanung Toys and Textiles Limited,20,-
HARITASEAT,EQ,Harita Seating Systems Limited,20,-
HARRMALAYA,EQ,Harrisons  Malayalam Limited,20,-
HATHWAY,EQ,Hathway Cable & Datacom Limited,20,-
HATSUN,EQ,Hatsun Agro Product Limited,20,-
HBLPOWER,EQ,HBL Power Systems Limited,20,-
HCG,EQ,Healthcare Global Enterprises Limited,20,-
HCL-INSYS,EQ,HCL Infosystems Limited,20,-
HDFCMFGETF,EQ,HDFC Mutual Fund-HDFC Gold Exchange Traded Fund,20,-
HDFCNIFETF,EQ,HDFC Mutual Fund - HDFC Nifty ETF,20,-
HDFCSENETF,EQ,HDFC Mutual Fund - HDFC SENSEX ETF,20,-
HEG,EQ,HEG Limited,20,-
HEIDELBERG,EQ,HeidelbergCement India Limited,20,-
HERCULES,EQ,Hercules Hoists Limited,20,-
HERITGFOOD,EQ,Heritage Foods Limited,20,-
HESTERBIO,EQ,Hester Biosciences Limited,20,-
HEXATRADEX,EQ,Hexa Tradex Limited,20,-
HFCL,EQ,Himachal Futuristic Communications Limited,20,-
HGS,EQ,Hinduja Global Solutions Limited,20,-
HIGHGROUND,EQ,High Ground Enterprise Limited,20,-
HIKAL,EQ,Hikal Limited,20,-
HIL,EQ,HIL Limited,20,-
HILTON,EQ,Hilton Metal Forging Limited,20,-
HIMATSEIDE,EQ,Himatsingka Seide Limited,20,-
HINDCOMPOS,EQ,Hindustan Composites Limited,20,-
HINDCOPPER,EQ,Hindustan Copper Limited,20,-
HINDMOTORS,EQ,Hindustan Motors Limited,20,-
HINDNATGLS,EQ,Hindusthan National Glass & Industries Limited,20,-
HINDOILEXP,EQ,Hindustan Oil Exploration Company Limited,20,-
HINDUJAFO,EQ,Hinduja Foundries Limited,20,-
HINDUJAVEN,EQ,Hinduja Ventures Limited,20,-
HIRECT,EQ,Hind Rectifiers Limited,20,-
HITECHCORP,EQ,Hitech Corporation Limited,20,-
HITECHGEAR,EQ,The Hi-Tech Gears Limited,20,-
HMVL,EQ,Hindustan Media Ventures Limited,20,-
HNGSNGBEES,EQ,Reliance ETF Hang Seng BeES,20,-
HONAUT,EQ,Honeywell Automation India Limited,20,-
HONDAPOWER,EQ,Honda Siel Power Products Limited,20,-
HOTELEELA,EQ,Hotel Leela Venture Limited,20,-
HPL,EQ,HPL Electric & Power Limited,20,-
HSCL,EQ,Himadri Speciality Chemical Limited,20,-
HSIL,EQ,HSIL Limited,20,-
HTMEDIA,EQ,HT Media Limited,20,-
HUDCO,EQ,Housing & Urban Development Corporation Limited,20,-
HUSYSLTD,SM,Husys Consulting Limited,20,-
ICICIPRULI,EQ,ICICI Prudential Life Insurance Company Limited,20,NIFTY 500 Index/NIFTY 100/NIFTY 200/NIFTY Free float Midcap 100/NIFTY Next 50
ICRA,EQ,ICRA Limited,20,-
ICSA,EQ,ICSA (India) Limited,20,-
IDBIGOLD,EQ,IDBI Mutual Fund - IDBI Gold Exchange Traded Fund,20,-
IDFNIFTYET,EQ,IDFC Mutual Fund - IDFC Nifty ETF,20,-
IFBAGRO,EQ,IFB Agro Industries Limited,20,-
IFBIND,EQ,IFB Industries Limited,20,-
IFGLREFRAC,EQ,IFGL Refractories Limited,20,-
IGARASHI,EQ,Igarashi Motors India Limited,20,-
IGPL,EQ,IG Petrochemicals Limited,20,-
IIFL,EQ,IIFL Holdings Limited,20,-
IL&FSENGG,EQ,IL&FS Engineering and Construction Company Limited,20,-
IL&FSTRANS,EQ,IL&FS Transportation Networks Limited,20,-
IMPAL,EQ,India Motor Parts and Accessories Limited,20,-
INDBANK,EQ,Indbank Merchant Banking Services Limited,20,-
INDHOTEL,EQ,The Indian Hotels Company Limited,20,-
INDIAGLYCO,EQ,India Glycols Limited,20,-
INDIANCARD,EQ,Indian Card Clothing Company Limited,20,-
INDIANHUME,EQ,Indian Hume Pipe Company Limited,20,-
INDLMETER,EQ,IMP Powers Limited,20,-
INDNIPPON,EQ,India Nippon Electricals Limited,20,-
INDOCO,EQ,Indoco Remedies Limited,20,-
INDORAMA,EQ,Indo Rama Synthetics (India) Limited,20,-
INDOTECH,EQ,Indo Tech Transformers Limited,20,-
INDRAMEDCO,EQ,Indraprastha Medical Corporation Limited,20,-
INDSWFTLAB,EQ,Ind-Swift Laboratories Limited,20,-
INDTERRAIN,EQ,Indian Terrain Fashions Limited,20,-
INEOSSTYRO,EQ,INEOS Styrolution India Limited,20,-
INFINITE,EQ,Infinite Computer Solutions (India) Limited,20,-
INFOBEAN,SM,InfoBeans Techno. Ltd.,20,-
INFRABEES,EQ,Reliance ETF Infra BeES,20,-
INGERRAND,EQ,Ingersoll Rand (India) Limited,20,-
INOXLEISUR,EQ,INOX Leisure Limited,20,-
INOXWIND,EQ,Inox Wind Limited,20,NIFTY Smallcap 250
INSECTICID,EQ,Insecticides (India) Limited,20,-
INTELLECT,EQ,Intellect Design Arena Limited,20,-
INVENTURE,EQ,Inventure Growth & Securities Limited,20,-
IOB,EQ,Indian Overseas Bank,20,-
IPAPPM,EQ,International Paper APPM Limited,20,-
IPCALAB,EQ,IPCA Laboratories Limited,20,-
IRBINVIT,IV,IRB InvIT Fund,20,-
ISFT,EQ,Intrasoft Technologies Limited,20,-
ISMTLTD,EQ,ISMT Limited,20,-
ITDCEM,EQ,ITD Cementation India Limited,20,-
IVC,EQ,IL&FS Investment Managers Limited,20,-
IVP,EQ,IVP Limited,20,-
IVRCLINFRA,EQ,IVRCL Limited,20,-
IVZINGOLD,EQ,Invesco India Gold Exchange Traded Fund,20,-
IVZINNIFTY,EQ,Invesco India Nifty Exchange Traded Fund,20,-
IZMO,EQ,IZMO Limited,20,-
J&KBANK,EQ,The Jammu & Kashmir Bank Limited,20,-
JAGRAN,EQ,Jagran Prakashan Limited,20,-
JAGSNPHARM,EQ,Jagsonpal Pharmaceuticals Limited,20,-
JAICORPLTD,EQ,Jai Corp Limited,20,-
JAMNAAUTO,EQ,Jamna Auto Industries Limited,20,-
JAYAGROGN,EQ,Jayant Agro Organics Limited,20,-
JAYNECOIND,EQ,Jayaswal Neco Industries Limited,20,-
JAYSREETEA,EQ,Jayshree Tea & Industries Limited,20,-
JBCHEPHARM,EQ,JB Chemicals & Pharmaceuticals Limited,20,-
JBFIND,EQ,JBF Industries Limited,20,-
JBMA,EQ,JBM Auto Limited,20,-
JCHAC,EQ,Johnson Controls  Hitachi Air Conditioning India Limited,20,-
JETKNIT,SM,Jet Knitwears Limited,20,-
JINDALPOLY,EQ,Jindal Poly Films Limited,20,-
JINDALSAW,EQ,Jindal Saw Limited,20,-
JINDCOT,EQ,Jindal Cotex Limited,20,-
JINDRILL,EQ,Jindal Drilling And Industries Limited,20,-
JISLDVREQS,EQ,Jain Irrigation Systems Limited,20,-
JKCEMENT,EQ,JK Cement Limited,20,-
JKIL,EQ,J.Kumar Infraprojects Limited,20,-
JKLAKSHMI,EQ,JK Lakshmi Cement Limited,20,-
JKPAPER,EQ,JK Paper Limited,20,-
JKTYRE,EQ,JK Tyre & Industries Limited,20,-
JMA,EQ,Jullundur Motor Agency (Delhi) Limited,20,-
JMCPROJECT,EQ,JMC Projects (India)  Limited,20,-
JMFINANCIL,EQ,JM Financial Limited,20,Nifty Alpha 50 Index
JMTAUTOLTD,EQ,JMT Auto Limited,20,-
JOCIL,EQ,Jocil Limited,20,-
JPINFRATEC,EQ,Jaypee Infratech Limited,20,-
JPOLYINVST,EQ,Jindal Poly Investment and Finance Company Limited,20,-
JPPOWER,EQ,Jaiprakash Power Ventures Limited,20,-
JSL,EQ,Jindal Stainless Limited,20,-
JSLHISAR,EQ,Jindal Stainless (Hisar) Limited,20,-
JSWHL,EQ,JSW Holdings Limited,20,-
JUBILANT,EQ,Jubilant Life Sciences Limited,20,NIFTY High Beta 50 Index
JUBLINDS,EQ,Jubilant Industries Limited,20,-
JUNIORBEES,EQ,Reliance ETF Junior BeES,20,-
JVLAGRO,EQ,JVL Agro Industries Limited,20,-
JYOTHYLAB,EQ,Jyothy Laboratories Limited,20,-
JYOTISTRUC,EQ,Jyoti Structures Limited,20,-
KABRAEXTRU,EQ,Kabra Extrusion Technik Limited,20,-
KAKATCEM,EQ,Kakatiya Cement Sugar & Industries Limited,20,-
KALPATPOWR,EQ,Kalpataru Power Transmission Limited,20,-
KAMATHOTEL,EQ,Kamat Hotels (I) Limited,20,-
KAMDHENU,EQ,Kamdhenu Limited,20,-
KANORICHEM,EQ,Kanoria Chemicals & Industries Limited,20,-
KANSAINER,EQ,Kansai Nerolac Paints Limited,20,-
KARURVYSYA,EQ,Karur Vysya Bank Limited,20,NIFTY Low Volatility 50 Index
KAWIRES,IT,K A Wires Limited,20,-
KAYA,EQ,Kaya Limited,20,-
KCP,EQ,KCP Limited,20,-
KCPSUGIND,EQ,KCP Sugar and Industries Corporation Limited,20,-
KDDL,EQ,KDDL Limited,20,-
KEC,EQ,KEC International Limited,20,-
KECL,EQ,Kirloskar Electric Company Limited,20,-
KEI,EQ,KEI Industries Limited,20,-
KELLTONTEC,EQ,Kellton Tech Solutions Limited,20,-
KESORAMIND,EQ,Kesoram Industries Limited,20,-
KGL,EQ,Karuturi Global Limited,20,-
KICL,EQ,Kalyani Investment Company Limited,20,-
KINGFA,EQ,Kingfa Science & Technology (India) Limited,20,-
KIRIINDUS,EQ,Kiri Industries Limited,20,-
KIRLOSBROS,EQ,Kirloskar Brothers Limited,20,-
KIRLOSENG,EQ,Kirloskar Oil Engines Limited,20,-
KITEX,EQ,Kitex Garments Limited,20,-
KKCL,EQ,Kewal Kiran Clothing Limited,20,-
KKVAPOW,SM,KKV Agro Powers Limited,20,-
KMSUGAR,EQ,K.M.Sugar Mills Limited,20,-
KNRCON,EQ,KNR Constructions Limited,20,NIFTY 500 Index/NIFTY MidSmallcap 400/NIFTY Smallcap 250
KOHINOOR,EQ,Kohinoor Foods Limited,20,-
KOKUYOCMLN,EQ,Kokuyo Camlin Limited,20,-
KOLTEPATIL,EQ,Kolte - Patil Developers Limited,20,-
KOPRAN,EQ,Kopran Limited,20,-
KOTAKBKETF,EQ,Kotak Mahindra MF - Kotak Banking ETF - Dividend Payout Option,20,-
KOTAKGOLD,EQ,Kotak Mutual Fund - Gold Exchange Traded Fund,20,-
KOTAKNIFTY,EQ,Kotak Mahindra Mutual Fund-Kotak Nifty ETF,20,-
KOTAKNV20,EQ,Kotak Mahindra MF - Kotak NV 20 ETF - DPO,20,-
KOTAKPSUBK,EQ,Kotak Mahindra Mutual Fund,20,-
KOTARISUG,EQ,Kothari Sugars And Chemicals Limited,20,-
KOTHARIPET,EQ,Kothari Petrochemicals Limited,20,-
KOTHARIPRO,EQ,Kothari Products Limited,20,-
KPRMILL,EQ,K.P.R. Mill Limited,20,-
KRBL,EQ,KRBL Limited,20,-
KRISHANA,SM,Krishana Phoschem Limited,20,-
KSBPUMPS,EQ,KSB Pumps Limited,20,-
KSL,EQ,Kalyani Steels Limited,20,-
KTIL,EQ,Kesar Terminals & Infrastructure Limited,20,-
KWALITY,EQ,kwality limited,20,-
LAKPRE,EQ,Lakshmi Precision Screws Limited,20,-
LAKSHMIEFL,EQ,Lakshmi Energy and Foods Limited,20,-
LAKSHVILAS,EQ,Lakshmi Vilas Bank Limited,20,Nifty Alpha 50 Index
LALPATHLAB,EQ,Dr. Lal Path Labs Ltd.,20,NIFTY 200/NIFTY Full Midcap 100
LAMBODHARA,EQ,Lambodhara Textiles Limited,20,-
LAOPALA,EQ,La Opala RG Limited,20,-
LAURUSLABS,EQ,Laurus Labs Limited,20,-
LAXMICOT,SM,Laxmi Cotspin Limited,20,-
LAXMIMACH,EQ,Lakshmi Machine Works Limited,20,-
LGBBROSLTD,EQ,LG Balakrishnan & Bros Limited,20,-
LIBAS,SM,Libas Designs Limited,20,-
LIBERTSHOE,EQ,Liberty Shoes Limited,20,-
LICNETFGSC,EQ,LIC MF - LIC MF G-sec LT ETF - GO,20,-
LICNETFN50,EQ,LIC MF - LIC MF EXCHANGE TRADED FUND - NIFTY 50,20,-
LICNETFSEN,EQ,LIC Mutual Fund - LIC MF EXCHANGE TRADED FUND - SENSEX,20,-
LICNFNHGP,EQ,LIC MF - LIC MF ETF - Nifty 100,20,-
LINCOLN,EQ,Lincoln Pharmaceuticals Limited,20,-
LINCPEN,EQ,Linc Pen & Plastics Limited,20,-
LINDEINDIA,EQ,Linde India Limited,20,-
LITL,EQ,Lanco Infratech Limited,20,-
LLOYDELENG,EQ,Lloyd Electric & Engineering Limited,20,-
LML,EQ,LML Limited,20,-
LOKESHMACH,EQ,Lokesh Machines Limited,20,-
LOTUSEYE,EQ,Lotus Eye Care Hospital Limited,20,-
LOVABLE,EQ,Lovable Lingerie Limited,20,-
LPDC,EQ,Landmark Property Development Company Limited,20,-
LSIL,EQ,Lloyds Steels Industries Limited,20,-
LTI,EQ,Larsen & Toubro Infotech Limited,20,NIFTY 500 Index/NIFTY MidSmallcap 400/NIFTY Midcap 150
LTTS,EQ,L&T Technology Services Limited,20,NIFTY 500 Index/NIFTY Full Midcap 100/NIFTY MidSmallcap 400/NIFTY 200/NIFTY Midcap 150
LUMAXIND,EQ,Lumax Industries Limited,20,-
LUMAXTECH,EQ,Lumax Auto Technologies Limited,20,-
LUXIND,EQ,Lux Industries Limited,20,-
LYKALABS,EQ,Lyka Labs Limited,20,-
