1,1.0.0,
1008449,600,OPTCUR,USDINR,0,0,27-DEC-2017,680000000,PE,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29-MAR-2017,29-DEC-2017,5,1,1,1,25000,0,0,0,1008449,0,0,0,0,0,0,0,0,0,0,0,27-DEC-2017,27-DEC-2017,0,1000,0,USDINR17DEC68.0000PE,0,0,0,7,0,Q,0,0,0,0,0,0,0,20325000,N
1007735,600,OPTCUR,USDINR,0,0,27-SEP-2017,675000000,PE,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28-DEC-2016,29-SEP-2017,5,1,1,1,25000,0,0,0,1007735,0,0,0,0,0,0,0,0,0,0,0,27-SEP-2017,27-SEP-2017,0,1000,0,USDINR17SEP67.5000PE,0,0,0,7,0,Q,0,0,0,0,0,0,0,20375000,N
1007860,618,FUTIRD,684GS2022,0,0,28-SEP-2017,0,,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30-DEC-2016,29-SEP-2017,40,3,1,1,25000,0,0,0,1007860,0,0,0,0,0,0,0,0,0,0,0,28-SEP-2017,28-SEP-2017,0,2000,0,684GS202217SEPFUT,0,0,0,9,0,Q,0,0,0,0,0,0,0,999325000,N
1008172,600,OPTCUR,USDINR,0,0,29-MAY-2017,662500000,CE,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23-FEB-2017,31-MAY-2017,5,1,1,1,25000,0,0,0,1008172,0,0,0,0,0,0,0,0,0,0,0,29-MAY-2017,29-MAY-2017,0,1000,0,USDINR17MAY66.2500CE,0,0,0,7,0,M,0,0,0,0,0,0,0,25000,N
1007502,600,OPTCUR,USDINR,0,0,28-JUN-2017,712500000,PE,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21-NOV-2016,30-JUN-2017,5,1,1,1,25000,0,0,0,1007502,0,0,0,0,0,0,0,0,0,0,0,28-JUN-2017,28-JUN-2017,0,1000,0,USDINR17JUN71.2500PE,0,0,0,7,0,Q,0,0,0,0,0,0,0,63150000,N
1008653,600,OPTCUR,USDINR,0,0,27-SEP-2017,612500000,CE,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10-APR-2017,29-SEP-2017,5,1,1,1,25000,0,0,0,1008653,0,0,0,0,0,0,0,0,0,0,0,27-SEP-2017,27-SEP-2017,0,1000,0,USDINR17SEP61.2500CE,0,0,0,7,0,Q,0,0,0,0,0,0,0,43725000,N
1008857,620,FUTIRD,679GS2027,0,0,28-DEC-2017,0,,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16-MAY-2017,29-DEC-2017,42,3,1,1,25000,0,0,0,1008857,0,0,0,0,0,0,0,0,0,0,0,28-DEC-2017,28-DEC-2017,0,2000,0,679GS202717DECFUT,0,0,0,9,0,Q,0,0,0,0,0,0,0,1007050000,N
1008665,600,OPTCUR,USDINR,0,0,27-JUL-2017,665000000,PE,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,26-APR-2017,31-JUL-2017,5,1,1,1,25000,0,0,0,1008665,0,0,0,0,0,0,0,0,0,0,0,27-JUL-2017,27-JUL-2017,0,1000,0,USDINR17JUL66.5000PE,0,0,0,7,0,M,0,0,0,0,0,0,0,14950000,N
1007736,600,OPTCUR,USDINR,0,0,27-SEP-2017,682500000,CE,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28-DEC-2016,29-SEP-2017,5,1,1,1,25000,0,0,0,1007736,0,0,0,0,0,0,0,0,0,0,0,27-SEP-2017,27-SEP-2017,0,1000,0,USDINR17SEP68.2500CE,0,0,0,7,0,Q,0,0,0,0,0,0,0,1325000,N
1008422,600,OPTCUR,USDINR,0,0,28-JUN-2017,625000000,PE,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17-MAR-2017,30-JUN-2017,5,1,1,1,25000,0,0,0,1008422,0,0,0,0,0,0,0,0,0,0,0,28-JUN-2017,28-JUN-2017,0,1000,0,USDINR17JUN62.5000PE,0,0,0,7,0,Q,0,0,0,0,0,0,0,50000,N
