1180213580,513,
P,83,50568,65108
P,83,65109,65110
P,83,65110,65111
P,83,50571,50576
P,83,50576,65129
P,83,46439,50577
P,83,50577,65130
P,83,50579,50583
P,83,50583,65131
P,83,46442,50585
P,83,50585,65132
P,21,45579,49735
P,21,45579,62729
P,21,49735,62729
P,24,45580,49736
P,24,45580,62730
P,24,49736,62730
P,24,45581,49737
P,24,45581,63277
P,24,49737,63277
P,22,45582,49738
P,24,45582,49738
P,22,45582,63278
P,24,45582,63278
P,22,49738,63278
P,24,49738,63278
P,22,45583,49741
P,24,45583,49741
P,22,45583,63281
P,24,45583,63281
P,22,49741,63281
P,24,49741,63281
P,22,45584,49742
P,24,45584,49742
P,22,45584,63282
P,24,45584,63282
P,22,49742,63282
P,24,49742,63282
P,83,46443,50587
P,83,50587,65133
P,83,46444,50607
P,83,50607,65134
P,83,46445,50608
P,83,50608,65135
P,83,46446,50634
P,83,50634,65136
P,83,46447,50635
P,83,50635,65137
P,83,46448,50667
P,83,50667,65138
P,83,46656,50668
P,83,50668,65139
P,83,46657,50676
P,83,50676,65140
P,83,46673,50677
P,83,50677,65141
P,83,46676,50689
P,83,50689,65142
P,83,46677,50690
P,83,50690,65143
P,83,46686,50691
P,83,50691,65144
P,83,46687,50692
P,83,50692,65145
P,83,46692,50693
P,83,50693,65146
P,83,46693,50694
P,83,50694,65147
P,83,46694,50696
P,83,50696,65148
P,83,46697,50716
P,83,50716,65149
P,83,65150,65151
P,83,65151,65152
P,83,50720,50721
P,83,50721,65153
P,83,65154,65155
P,83,65155,65156
P,83,50722,65157
P,83,47424,50726
P,83,50726,65158
P,83,47425,50727
P,83,50727,65159
P,81,47442,50728
P,83,47442,50728
P,81,50728,65160
P,83,50728,65160
P,81,47443,50729
P,83,47443,50729
P,81,50729,65161
P,83,50729,65161
P,81,47444,50730
P,83,47444,50730
P,81,50730,65162
P,83,50730,65162
P,83,47445,50731
P,83,50731,65163
P,22,35023,35019
P,24,35023,35019
P,22,35023,37742
P,24,35023,37742
P,22,36401,36409
P,24,36401,36409
P,22,36409,35111
P,24,36409,35111
P,22,37742,35019
P,24,37742,35019
P,33,47452,50732
P,33,50732,65164
P,31,47453,50733
P,33,47453,50733
P,31,50733,65165
P,33,50733,65165
P,33,47464,50734
P,33,50734,65166
P,33,47465,50735
P,33,50735,65167
P,33,47478,50739
P,33,50739,65168
P,33,47479,50740
P,33,50740,65169
P,33,47480,50742
P,33,50742,65170
P,33,47481,50743
P,33,50743,65171
P,33,47486,50744
P,33,50744,65172
P,33,50745,65173
P,33,47490,50754
P,33,50754,65174
P,33,47498,50755
P,33,50755,65175
P,33,47499,50759
P,33,50759,65176
P,33,47506,50760
P,33,50760,65177
P,33,47509,50761
P,33,50761,65180
P,33,47517,50762
P,33,50762,65181
P,33,47518,50763
P,33,50763,65182
P,31,47521,50765
P,33,47521,50765
P,31,50765,65369
P,33,50765,65369
P,33,47572,50766
P,33,50766,65370
P,33,47580,50768
P,33,50768,65465
P,33,47581,50770
P,33,50770,65466
P,31,47582,50771
P,33,47582,50771
P,31,50771,65488
P,33,50771,65488
P,33,47583,50778
P,33,50778,65489
P,33,47584,50779
P,33,50779,65490
P,33,47594,50781
P,33,50781,65491
P,33,47598,50788
P,33,50788,65494
P,33,47599,50789
P,33,50789,65495
P,33,47600,50790
P,33,50790,65496
P,33,47601,50791
P,33,50791,65497
P,33,47607,50792
P,33,50792,65498
P,33,47609,50793
P,33,50793,65499
P,33,47610,50794
P,33,50794,65500
P,33,47611,50795
P,33,50795,65501
P,33,47613,50796
P,33,50796,65502
P,33,50798,50799
P,33,50799,65503
P,33,47665,50800
P,33,50800,65504
P,33,47666,50801
P,33,50801,65505
P,31,50802,65506
P,33,50802,65506
P,31,47668,50803
P,33,47668,50803
P,31,50803,65507
P,33,50803,65507
P,33,47967,50804
P,33,50804,65508
