1180213580,446,
P,6,45585,49743,
P,6,49743,63283,
P,6,45586,49744,
P,6,49744,63284,
P,6,45587,49747,
P,6,49747,64076,
P,6,45620,49748,
P,6,49748,64125,
P,6,45621,49749,
P,6,49749,64126,
P,6,45661,49750,
P,6,49750,64127,
P,6,45679,49753,
P,6,49753,64136,
P,6,45680,49754,
P,6,49754,64145,
P,6,45681,49763,
P,6,49763,64146,
P,6,45682,49764,
P,6,49764,64147,
P,6,49769,64148,
P,6,45755,49770,
P,6,49770,64157,
P,6,45756,49773,
P,6,49773,64158,
P,6,45758,49774,
P,6,49774,64165,
P,6,45759,49775,
P,6,49775,64166,
P,6,49776,64167,
P,6,45773,49777,
P,6,49777,64168,
P,6,45782,49778,
P,6,49778,64177,
P,6,49790,49818,
P,6,49818,64201,
P,6,45783,49819,
P,6,49819,64202,
P,6,49830,49831,
P,6,49831,64214,
P,6,49833,49920,
P,6,49920,64215,
P,6,45786,49921,
P,6,49921,64216,
P,6,45787,50132,
P,6,50132,64255,
P,5,45578,49732,
P,5,45578,62728,
P,5,49732,62728,
P,6,45788,50133,
P,6,50133,64256,
P,6,45789,50139,
P,6,50139,64269,
P,6,45801,50140,
P,6,50140,64305,
P,6,50145,50146,
P,6,50146,64306,
P,6,45802,50169,
P,6,50169,64307,
P,6,45803,50170,
P,6,50170,64308,
P,6,45804,50179,
P,6,50179,64326,
P,6,45810,50180,
P,6,50180,64327,
P,6,45811,50185,
P,6,50185,64328,
P,6,45840,50186,
P,6,50186,64329,
P,6,45845,50212,
P,6,50212,64330,
P,6,45846,50213,
P,6,50213,64331,
P,7,45847,50249,
P,7,50249,64332,
P,7,45855,50285,
P,7,50285,64333,
P,7,50299,50300,
P,7,50300,64334,
P,7,45858,50309,
P,7,50309,64335,
P,7,45859,50310,
P,7,50310,64336,
P,7,45860,50315,
P,7,50315,64337,
P,7,45861,50316,
P,7,50316,64340,
P,7,45862,50318,
P,7,50318,64341,
P,7,45863,50319,
P,7,50319,64342,
P,7,50330,50331,
P,7,50331,64343,
P,7,45868,50332,
P,7,50332,64344,
P,7,45869,50335,
P,7,50335,64345,
P,7,45870,50336,
P,7,50336,64346,
P,7,45871,50337,
P,7,50337,64347,
P,7,45875,50338,
P,7,50338,64348,
P,7,45876,50341,
P,7,50341,64349,
P,7,46001,50342,
P,7,50342,64350,
P,7,46006,50345,
P,7,50345,64351,
P,7,46017,50346,
P,7,50346,64352,
P,7,46018,50347,
P,7,50347,64353,
P,7,50348,64354,
P,2,35022,35018,
P,2,35022,37728,
P,2,35087,35075,
P,2,36400,35087,
P,2,37728,35018,
P,7,46020,50357,
P,7,50357,64355,
P,7,46029,50358,
P,7,50358,64356,
P,7,46030,50363,
P,7,50363,64357,
P,7,46031,50364,
P,7,50364,64358,
P,7,46040,50424,
P,7,50424,64359,
P,7,46051,50425,
P,7,50425,64360,
P,7,46052,50430,
P,7,50430,64361,
P,7,46053,50431,
P,7,50431,64362,
P,7,50436,50452,
P,7,50452,64363,
P,2,35109,35107,
P,2,40912,46099,
P,2,40912,48478,
P,2,46099,48478,
P,2,47411,35109,
P,7,46054,50453,
P,7,50453,64364,
P,7,46057,50454,
P,7,50454,64365,
P,7,46058,50457,
P,7,50457,64366,
P,7,50459,50461,
P,7,50461,64367,
P,7,46064,50467,
P,7,50467,64368,
