2,1.0.0,
827524,836405,SF,SRFL,SRF,27-JUL-2017,72061231875227695,1, ,SF,SRFL,,31-AUG-2017,847,SRFL7817S,,,,,,1,500,500,5,500,500,5,1,A,836722,SF,SRFL,5,27-JUL-2017,SRFLJULAUG17,
827500,836358,SF,INAL,INAL,27-JUL-2017,72065440943177734,1, ,SF,INAL,,31-AUG-2017,1827,INAL7817S,,,,,,1,600,600,5,600,600,5,1,A,836723,SF,INAL,5,27-JUL-2017,INALJULAUG17,
820924,835407,SF,DISH,DISHTV,29-JUN-2017,72058418671648820,1, ,SF,DISH,,31-AUG-2017,192,DISH6817S,,,,,,1,7000,7000,5,7000,7000,5,1,A,836724,SF,DISH,5,29-JUN-2017,DISHJUNAUG17,
827151,835860,SF,INDC,ICIL,27-JUL-2017,72064659259129888,1, ,SF,INDC,,31-AUG-2017,1645,INDC7817S,,,,,,1,3500,3500,5,3500,3500,5,1,A,836725,SF,INDC,5,27-JUL-2017,INDCJULAUG17,
820414,826504,SF,TORP,TORNTPOWER,29-JUN-2017,72064839647756304,1, ,SF,TORP,,27-JUL-2017,1687,TORP6717S,,,,,,1,3000,3000,5,3000,3000,5,1,A,828890,SF,TORP,5,29-JUN-2017,TORPJUNJUL17,
827055,835447,SF,ULCL,ULTRACEMCO,27-JUL-2017,72058242577989685,1, ,SF,ULCL,,31-AUG-2017,151,ULCL7817S,,,,,,1,200,200,5,200,200,5,1,A,836726,SF,ULCL,5,27-JUL-2017,ULCLJULAUG17,
821006,827111,SF,JAIA,JPASSOCIAT,29-JUN-2017,72058981312364595,1, ,SF,JAIA,,27-JUL-2017,323,JAIA6717S,,,,,,1,68000,68000,5,68000,68000,5,1,A,828894,SF,JAIA,5,29-JUN-2017,JAIAJUNJUL17,
827229,836354,SF,CFHL,CFHL,29-JUN-2017,72065505367687171,1, ,SF,CFHL,,31-AUG-2017,1842,CFHL6817S,,,,,,1,250,250,5,250,250,5,1,A,836727,SF,CFHL,5,29-JUN-2017,CFHLJUNAUG17,
820848,835536,SF,BAJT,BAJAJ-AUTO,29-JUN-2017,72058457326354484,1, ,SF,BAJT,,31-AUG-2017,201,BAJT6817S,,,,,,1,250,250,5,250,250,5,1,A,836728,SF,BAJT,5,29-JUN-2017,BAJTJUNAUG17,
821063,835893,SF,TVBL,TV18BRDCST,29-JUN-2017,72061433738690601,1, ,SF,TVBL,,31-AUG-2017,894,TVBL6817S,,,,,,1,17000,17000,5,17000,17000,5,1,A,836729,SF,TVBL,5,29-JUN-2017,TVBLJUNAUG17,
