25/05/2017
SCRIP CODE	SCRIP NAME	CAPITAL(No. of shares in lacs)
511559	Times Guaranty Ltd.	89.93149
511563	Sanchay Finvest Ltd	31.50000
511571	Som Datt Finance Corporation L	100.07900
511577	Savani Financials Ltd.	40.00000
511585	Regency Trust Ltd.	100.00000
511589	Avonmore Capital & Management 	242.70900
511593	Libord Finance Limited	80.00000
511597	Palsoft Infosystems Ltd.	30.03100
511601	Yash Management & Satellite Lt	97.01800
511605	Arihant Capital Markets Ltd.	208.22560
511607	Birla Shloka Edutech Limited	209.45637
511609	ISL Consulting Ltd	120.00000
511611	DCM Financial Services Ltd.	187.80000
511613	Harvic Management Services (In	350.00000
511618	JIK Industries Ltd	623.85948
511626	R.R.Financial Consultants Ltd.	110.60700
511628	IM+ Capitals Limited	35.01597
511630	Sambhaav Media Ltd.	1629.20840
511632	Olympic Management & Financial	30.06600
511634	Dugar Housing Developments Lim	30.00000
511636	DJS Stock & Shares Ltd.	754.56000
511638	Madhur Capital & Finance Ltd.	95.91000
511640	Sanghi Corporate Services Ltd.	30.00000
511642	Wisec Global Ltd.	73.35050
511644	Omega Interactive Technologies	5.00000
511650	Cvil Infra Ltd	110.00200
511652	Gemmia Oiltech (India) Ltd	3462.90000
511654	Sugal & Damani Share Brokers L	62.50007
511658	Nettlinx Ltd.	114.63312
511660	Premium Capital Market & Inves	65.50000
511662	A.J.Brothers Ltd.	39.10000
511664	BGIL Films & Technologies Ltd	113.27630
511668	Fact Enterprise  Limited	152.72800
511672	Scan Steels Limited	523.52295
511674	Olympia Capitals Ltd.	72.00000
511676	GIC Housing Finance Ltd.	538.51066
511682	IFL Promoters Ltd	455.84000
511688	Mathew Easow Research Securiti	66.50000
511690	Warner Multimedia Ltd.	185.55400
511692	Ajcon Global Services Ltd.	61.16200
511694	Alpine Capital Services Ltd.	30.04500
511696	Chartered Capital & Investment	30.11600
511698	Bhagyashree Leasing & Finance 	30.00100
511700	Standard Capital Markets Ltd.	40.00100
511702	Parsharti Investments Ltd.	30.23300
511706	Action Financial Services (Ind	125.04500
511710	Cubical Financial Services Ltd	651.70000
511712	Relic Technologies Ltd.	36.00000
511714	Nimbus Projects Limited	74.38000
511716	Escorts Finance Ltd.	402.50000
511718	Athena Financial Services Ltd.	126.38748
511720	Capman Financials Ltd.	35.23800
511724	Baid Leasing And Finance Co.Lt	101.00000
511726	Vipul Limited	1199.84480
511728	K.Z.Leasing & Finance Ltd.	30.41200
511730	TRC Financial Services Ltd.	50.00900
511734	Pasupati Fincap Ltd.	47.00000
511736	Ushdev International Ltd	3385.21000
511738	Mehta Securities Ltd.	30.89400
511740	Mehta Housing Finance Ltd.	30.82000
511742	Chokhani Securities Ltd.	46.98500
511750	Ascent Exim (India) Ltd.	30.02500
511754	Shalibhadra Finance Ltd.	50.03100
511756	Abirami Financial Services (In	60.00000
511758	Mansi Finance (Chennai) Ltd	35.34900
511760	Seven Hill Industries Limited	130.03200
511764	Upasana Finance Ltd.	42.78000
511766	Muthoot Capital Services Ltd.	124.72575
511768	Master Trust Ltd.	108.76600
512004	Nilkanth Engineering Ltd.	12.45000
512008	Amani Trading & Exports Ltd.	6.99700
512011	Tea Time Ltd.	29.03919
512014	Sobhagya Merchantile Ltd.	2.40000
512017	Exdon Trading Co. Ltd.	320.50000
512018	CNI Research Ltd	1148.04500
512020	Saraswati Commercial (India) L	6.40000
512022	Winro Commercial (India) Ltd.	12.52536
512024	N.D.Metal Industries Ltd	24.80000
512025	Inertia Steel Limited	2.48800
512026	PH Trading Ltd.	4.80000
512028	Shonkh Technologies Internatio	175.13093
512036	Kapil Cotex  Ltd.	10.40000
512038	Aaswa Trading & Export Ltd.	7.20000
512047	Royal India Corporation Limite	230.80000
512048	Luharuka Media & Infra Limited	937.20000
512050	Sagar Silk Industries Ltd.	2.50000
512060	Ventura Guaranty Ltd.	31.94800
512062	Sanmitra Commercial Ltd.	11.00000
512063	Ayoki Mercantile Ltd.	2.45000
512064	Vishvprabha Trading Ltd	2.45000
512065	Mrugesh Trading Ltd.	2.45000
512067	Vishvjyoti Trading Ltd.	1524.50000
512068	Deccan Gold Mines Ltd.	916.27075
512070	UPL Limited	5079.74417
512075	Suchak Trading Ltd.	117.26350
512079	Doctors Biotech India Ltd.	241.76000
512091	Anshuni Commercials Ltd.	2.40000
512093	Cranes Software International 	1177.66850
512097	Saianand Commercial Limited	113.60000
512099	Punit Commercials Ltd	2.40000
512101	Triochem Products Ltd.	2.45000
512103	Nidhi Granites Limited	7.50000
512105	Proaim Enterprises Limited	126.52490
512107	Golkonda  Engineering Enterpri	8.95070
512109	Aviva Industries Limited	14.99000
512113	Kelvin Fincap Ltd	279.92000
512115	Rose Merc.Limited	9.96000
512117	Twin Roses Trades & Agencies L	22.41000
512121	Delma Infrastructure Limited	2.49000
512125	Sanchana Trading & Finance Ltd	5.00000
512127	ETP Corporation ltd	115.00000
512129	Jayant Mercantile Co. Ltd	591.20000
512131	Signet Industries Limited	2943.70000
512135	Ensa Steel Industries Ltd	48.94076
512145	Credential Finance Ltd	56.30000
512147	Kajal Synthetics and Silk Mill	19.92000
512149	Avance Technologies Ltd.	1981.91743
512153	Specular Marketing and Financi	2.48000
512157	Terraform Realstate Limited	5.00000
512161	8K Miles Software Services Lim	305.17605
512163	Extol Commercial Ltd.	7.20000
512165	ABans Enterprises Limited	139.49776
512167	Matra Realty Ltd	122.72580
512169	Capricorn Systems Global Solut	39.96000
512175	Vama Industries Limited	525.40000
512179	Sunteck Realty Ltd	629.92735
512185	IOL Netcom Ltd	294.03543
512189	Prem Kutir Estates & Propertie	12.50000
512191	Mishka Finance and Trading Lim	1033.36000
512195	Bentley Commercial Enterprises	9.96000
512197	Silver oak Commercial Ltd.	27.50000
512199	CORE Education & Technologies 	1145.65558
512205	Vatsa Educations Ltd.	24.00000
512207	Effingo Textile & Trading Limi	1099.60000
512213	Classic Electricals Ltd.	14.85210
512215	Vora Constructions Ltd.	64.49380
512217	Prism Medico and Pharmacy Ltd.	60.63428
512219	Finaventure Capital Ltd	105.65490
512221	Tarrif Cine & Finance Ltd.	2.50000
512223	Simco Trading & Finance Co. Lt	9.80000
512229	Veritas (India) Limited	268.10000
512233	Jaybharat Textiles And Real Es	3828.37500
512237	Jai Corp Limited	1784.49410
512245	Nivi Trading Ltd.	12.45600
512247	Ashirwad Capital Ltd.	400.00000
512253	Meuse Kara & Sungrace Mafatlal	86.28500
512255	Winmore Silk Mills Ltd.	5.00000
512257	Swasti Vinayaka Art And Herita	400.00000
512261	Bajaj Global Ltd	7.42500
512265	Avon Mercantile Ltd.	33.04330
512267	Media Matrix Worldwide Ltd.	11327.42219
512269	Warden Construction & Finance 	5.00000
512271	Tashi India Ltd.	7.42500
512273	Aroni Commercials Limited	41.25000
512277	Autoriders International Ltd	2.45070
512279	N2N Technologies Limited	32.28069
512285	Yuvraj International Ltd.	8.30000
512289	Shirpur Gold Refinery Ltd.	291.37202
512291	Speedage Commercials Ltd.	9.80000
512296	Bhagyanagar India Limited	319.95000
512297	Shantai Industries Limited	5.00000
512299	Sterling Biotech Ltd.	2721.70388
512301	Chambal Breweries & Distilleri	74.89586
512303	Mansoon Trading Co. Ltd.	24.54700
512307	Typhoon Holdings Ltd.	5.00000
512309	Rosekamal Textiles Ltd.	10.00000
512311	Surabhi Chemicals & Investment	2163.10000
512313	Bijlee Textiles Ltd.	5.00000
512319	Rajlaxmi Industries Ltd.	3100.00000
512321	Vishva-Vishal Engineering Ltd.	25.00000
512329	Jarigold Textiles Ltd.	10.00000
512332	Birla Capital & Financial Serv	469.15632
512337	Mahashree Trading Ltd.	4.00000
512341	CES Limited	13.00000
512344	Aravali Securities & Finance L	151.50000
512345	Yash Trading & Finance Ltd.	2.45000
512349	Linkhouse Industries Ltd.	992.00000
512355	Anukaran Commercial  Enterpris	1936.80000
512359	Sword-Edge Commercials Limited	108.60000
512361	Cupid Trades & Finance Ltd.	9.60000
512367	Sheraton Properties & Finance 	12.00000
512369	Ennore Coke Limited	155.00000
512375	Innoventive Venture Limited	151.55036
512377	Magnanimous Trade & Finance Lt	9.51468
512379	Cressanda Solutions Ltd.	3035.77500
512381	Nivedita Mercantile & Financin	99.10330
512393	Shardul Securities Ltd.	174.98433
512397	RATAN GLITTER INDUSTRIES LTD.	2.47500
512399	Kapashi Commercials Ltd.	10.00000
512404	Bengal Steel Industries Ltd.	49.00000
512405	i Power Solutions India Ltd.	44.49000
512408	Uniworth Securities Limited	12.44800
512409	Rajsanket Realty Limited	23.95000
512413	Spectacle Ventures Limited	514.50000
512415	Mercury Trade Links Ltd.	2.47500
512417	Trinity Tradelink Limited	2625.58050
512419	Sampark Trading & Finance Ltd.	2.50000
512424	MTZ Polyfilms Ltd.	805.74860
512425	Nirav Commercials Ltd.	3.92000
512429	Nitin Industries Ltd.	2.50000
512431	White Hall Commercial Co.Ltd.	2.49000
512433	Asutosh Enterprise Ltd.	22.41000
512437	Apollo Finvest (India) Ltd.	37.31208
512439	Esquire Money Guarantees Ltd	12.25000
512441	Enbee Trade & Finance Ltd.	16.00050
512443	Ganon Trading Finance Co. Ltd.	93.31000
512445	Devinsu Trading Ltd.	5.00000
512447	Innovision E-Commerce Ltd.	950.00000
512449	SVC Resources Limited	69.55400
512453	Shri Jagdamba Polymers Ltd	8.75800
512455	Lloyds Metals and Energy Limit	2225.82580
512461	Punctual Trading Ltd.	10.00000
512463	Shree Global  Tradefin  L t d.	11395.05465
512465	Santowin Corporation Limited	986.30000
512477	Betex India Ltd.	15.00000
512479	Gayatri Tissue & Papers Ltd	15.00000
512481	Polytex India Ltd.	135.00000
512485	Dhanlaxmi Cotex Ltd.	48.71350
512487	Remi Elektrotechnik Limited	48.65000
512489	Oasis Securities Limited	18.50000
512493	Garnet International Limited	62.25000
512499	Shalimar Productions Ltd.	9843.28313
512505	Meenakshi Steel Industries Ltd	19.92000
512511	Varun Mercantile Ltd.	19.92000
512517	Vinayak Vanijya Ltd.	9.96000
512519	Donear Industries Ltd	520.00000
512520	Priyanka Udyog Ltd.	4.00000
512522	Neptune Exports Ltd.	30.00000
512527	Super Sales India Ltd.	30.71500
512529	Sequent Scientific Limited	2437.36195
512531	State Trading Corporation of I	600.00000
512535	Asahi Infrastructure & Project	350.79600
512553	Zenith Exports Ltd.	53.96250
512559	Kohinoor Foods Ltd	352.41530
512565	R.T.Exports Ltd.	43.59000
512573	Avanti Feeds ltd.	454.15210
512579	Gujarat NRE Coke Ltd.	16045.48645
512583	Enviro-Clean Systems Ltd	38.33000
512585	KARMA INDUSTRIES LIMITED	330.00000
512587	Zodiac-JRD-MKJ Ltd.	51.77182
512589	Sita Enterprises LTD.	30.00000
512591	Pulsar International Limited	30.00000
512595	Unimode Overseas Ltd.	50.10507
512597	Keynote Corporate Services Ltd	70.18339
512599	Adani Enterprises Ltd.	10998.10083
512600	Macro (International) Exports 	39.74070
512604	Haria Exports Ltd.	115.50000
512608	Bhandari Hosiery Exports Ltd.	1465.26950
512612	Towels India Exports Ltd.	48.30000
512614	Gran Heal Pharma Ltd.	52.60000
512616	Orind Exports LTD.	146.16600
512618	RLF Ltd.	99.88883
512624	Regent Enterprises Limited	334.56348
512626	Orbit Exports Ltd.	287.02300
512632	Subhlaxmi Exports Ltd.	32.70000
512634	Savera Industries Ltd.	119.28000
512640	Stocknet International Ltd.	55.00000
512642	Artillegence Bio-Innovations L	73.23210
513005	V.B.C. Ferro Alloys Ltd.	43.94350
513010	Tata Sponge Iron Ltd	154.00000
513012	Jeet Machine Tools Ltd.	19.60000
513023	Nava Bharat Ventures Ltd	1785.75482
513039	Hindusthan Udyog Ltd	71.76725
513043	Remi Edelstahl Tubulars Limite	109.82400
513059	G.S. Auto International Ltd.	145.14580
513062	Sriyansh Steel Ltd	15.00000
513063	Trans-Freight Containers Ltd.	72.82200
513097	Shivalik Bimetal Controls Ltd.	192.01400
513108	Gandhi Special Tubes Ltd.	146.98616
513117	Amforge Industries Ltd.	148.20206
513119	ABC Gas (International) Ltd.	19.80000
513121	Oricon Enterprises Ltd.	1570.47715
513127	Shree Narmada Aluminium Indust	31.49001
513129	Gujarat Wedge Wire Screens Ltd	8.22600
513131	Metalman Industries Ltd	117.39920
513142	BALASORE ALLOYS LTD	788.90411
513149	Acrow (India) Ltd.	6.40000
513151	STI India Ltd.	290.00000
513153	TechTrek India Limited	36.30220
513173	Steel Strips Infrastructures L	86.43000
513179	National Steel & Agro Industri	445.00000
513212	RMI Steels Ltd	45.20000
513216	Uttam Galva Steels Ltd.	1422.60103
513228	Pennar Industries Ltd.	1203.49514
513240	Choksi Tube Co. Ltd.	82.70000
513242	MSL Industries Ltd.	87.90000
513250	Jyoti Structures Ltd.	1095.27710
513252	Jay Ushin Ltd.	38.64500
513262	Steel Strips & Wheels Ltd	155.56270
513265	Mukesh Steels Ltd.	51.68012
513269	Man Industries (India) Ltd	571.03055
513277	Super Forgings & Steels Ltd.	158.81000
513285	Thapar Ispat Ltd.	132.40000
513291	Premier Pipes Limited	35.50000
513295	Ruchi Strips & Alloys Ltd.	499.95701
513303	Modern Steels Limited	137.62359
513305	Moryo Industris Limited	165.00380
513307	Synthiko Foils Ltd.	17.40000
513309	Golkonda Aluminium Extrusions 	123.97113
513333	Bhuwalka Steel Industries Ltd.	103.74508
513335	Metalyst Forgings Limited	435.50000
513337	Gujarat Toolroom Ltd.	6.95360
513343	Grand Foundry Ltd.	104.30000
513349	Ajmera Realty & Infra India Li	354.84875
513353	Cochin Minerals & Rutile Ltd.	78.30000
513355	Marmagoa Steels Ltd.	609.43000
513359	Parab Infra Limited	53.65600
513361	India Steel Works Ltd	3980.80925
513369	Rajkumar Forge Ltd	109.39400
513375	Carborundum Universal Ltd.	1886.58090
513377	MMTC Ltd.	10000.00000
513387	Dhatu Forge Ltd.	40.00000
513397	Vallabh Steels ltd	49.50000
513401	Ashiana Ispat Limited	44.64800
513403	P.M. Telelinnks Limited	100.75000
513405	Pennar Aluminium Co. Ltd	587.30000
513406	Raj Irrigation Pipes & Fitting	31.00000
513412	Alcobex Metals Ltd	81.00000
513414	Splendid Metal Products Limite	3010.10881
513418	Smiths & Founders (India) Limi	1019.96525
513422	Bloom Industries Ltd	47.06000
513428	TRINETRA CEMENT LIMITED	44.75600
513430	Maitri Enterprises Limited	19.00000
513434	Tata Metaliks Ltd	252.88000
513436	Shah Alloys Limited	197.97540
513442	Sweatamber Steels Ltd	40.30000
513446	MONNET ISPAT & ENERGY LIMITED	2007.68242
513448	Ganesh Foundry & Castings Ltd	44.02000
513452	Elango Industries Ltd	38.16100
513456	Kanishk Steel Industries Ltd	284.36074
513460	Mahalaxmi Seamless Ltd.	53.00000
513472	Simplex Castings Ltd.	60.93000
513488	Shree Steel Wire Ropes Ltd.	33.11490
513496	Mewat Zinc Ltd.	40.00000
513498	Southern Magnesium And Chemica	30.00000
513502	Baroda Extrusion Ltd.	1490.49000
513505	Star Precision Electronics (In	44.00000
513507	Gujarat Containers Ltd.	56.50000
513509	Kalyani Forge Ltd.	36.40000
513511	Panchmahal Steel Ltd.	190.78329
513513	Aditya Ispat Ltd.	53.50000
513515	S.R.Industries Ltd.	139.16000
513517	Steelcast Ltd.	182.16000
513519	Pitti Laminations Ltd.	269.83400
513528	Glittek Granites Ltd.	259.59400
513530	Stelco Strips Ltd.	89.75000
513532	Pradeep Metals Ltd.	172.70000
513534	Vardhman Industries Ltd	78.95200
513536	Gujarat Natural Resources Limi	387.51645
513540	Tamilnadu Steel Tubes Ltd.	51.24800
513544	Mardia Samyoung Capillary Tube	69.48073
513548	Sharda Ispat Ltd.	50.76800
513554	Mahamaya Steel Industries Limi	135.70400
513558	Real Strips Ltd.	59.80000
513566	Nova Iron & Steel Ltd.	361.39488
513575	Sterling Powergensys Limited	50.96000
513579	Foundry Fuel Products Ltd.	80.18750
513583	S.B.& T.International Ltd.	168.50000
513595	Gleitlager (India) Ltd.	45.00000
513597	Surana Industries Ltd.	445.19067
513599	Hindustan Copper Ltd.	9252.18000
513601	Malhotra Steel Industries Ltd.	55.10000
513605	Srikalahasthi Pipes Limited	397.63595
513609	Sri Vasavi Industries Ltd.	247.80700
513611	Pithampur Steels Ltd.	39.62900
513613	Presha Metallurgical Ltd	142.89800
513617	Inlac Granston Ltd.	75.00000
513625	Kusum Iron & Steel Ltd	24.08000
513627	Krishna Ferro Products Ltd.	45.00001
513629	Tulsyan NEC Ltd	144.58182
513630	Rajesh Malleables Ltd	35.00000
513642	Axel Polymers Ltd.	43.00000
513648	Marg Projects and Infrastructu	54.45000
513683	NLC India Limited	15285.68427
513685	Multi Arc India Ltd.	111.11380
513687	Spectra Industries Ltd.	70.78500
513691	JMT Auto Ltd	5038.32140
513693	KIC Metaliks Ltd.	70.99200
513699	Solid Stone Company Ltd.	53.80000
513703	Kumar Wire Cloth Manufacturing	27.60000
513705	Vardhaman Wires & Polymers Ltd	40.00000
513709	Shilp Gravures Ltd.	61.49800
513713	White Organic Agro Limited	125.00000
513715	Valley Abresives Ltd.	60.00000
513721	MFS Intercorp Limited	43.24900
513723	Himalaya Granites Ltd.	23.16784
513727	Ranjeev Alloys Ltd.	38.37800
513729	Aro Granite Industries Ltd.	153.00000
513733	Shree Pomani Metals & Alloys L	42.80000
514010	Himachal Fibres Ltd.	862.50000
514012	Gujarat Filaments Ltd.	98.32400
514017	Parasrampuria Synthetics Ltd.	463.10000
514028	Rajkamal Synthetics Ltd.	65.00000
514030	Deepak Spinners Ltd.	72.12868
514034	JBF Industries Ltd.	818.71849
514036	Loyal Textiles Mills Ltd	48.16446
514040	Parasrampuria Industries Ltd.	235.20600
514043	Himatsingka Seide Ltd.	984.57160
514045	BSL Ltd.	102.92168
514060	Evergreen Textiles Limited	48.00000
514073	Rajasthan Polyesters Ltd.	70.80000
514087	P.B.M. Polytex Ltd.	81.30000
514113	Adinath Textiles Ltd.	68.14350
514114	Oasis Textiles Ltd	54.63199
514116	Gupta Synthetics Ltd.	73.52700
514118	Eskay K'n'IT (India) Ltd	2808.31852
514128	Konark Synthetics  Ltd	58.08000
514138	Suryalata Spinning Mills Ltd.	42.67000
514140	Suryavanshi Spinning Mills Ltd	49.08576
514142	T T Ltd	214.98050
514144	Uniworth Ltd.	339.86243
514152	Shamken Multifab Ltd.	189.48800
514160	Mahendra Petrochemicals Ltd.	183.54000
514162	Welspun India Ltd	10047.25150
514165	Indian Acrylics Ltd	1353.22162
514167	Ganesha Ecosphere Limited	191.76877
514171	Ceeta Industries Ltd.	145.02400
514175	Vardhman Polytex Ltd.	222.90957
514177	Rishabh Special Yarns Ltd	35.60700
514179	Punjab Fibres Ltd.	31.50000
514183	Black Rose Industries Ltd	510.00000
514189	Keswani Synthetics Industries 	44.10200
514197	S & T Corporation Limited	63.66241
514199	Bala Techno Industries Limited	69.77140
514203	Lohia Polyester Ltd.	65.70000
514209	Shamken Cotsyn Limited	127.60000
514211	Sumeet Industries Ltd	580.39738
514215	Binny Ltd.	223.19410
514221	K-Lifestyle & Industries Limit	10223.82960
514223	Ramgopal Polytex Ltd	145.00000
514234	Sangam (India) Ltd	394.21559
514236	Trupti Twisters Ltd.	34.78900
514238	Ikab Securities & Investment L	34.16400
514240	Kush Industries Limited	152.50000
514242	MH Mills & Industries Ltd	149.56835
514248	Sree chem Resins Ltd	40.00000
514250	Maya Spinners Ltd	46.00000
514252	Girnar Fibres Ltd	202.28476
514258	Hytone Texstyles Ltd	53.00000
514260	Surbhi Industries Limited	34.34800
514264	Seasons Textiles Ltd	74.90300
514266	Zenith Fibres Limited	44.22346
514272	Bhilwara Spinners Ltd	67.61130
514274	Aarvee Denims & Exports Ltd.	234.59800
514280	Sanrhea Technical Textiles Ltd	30.00000
514282	Uniworth International ltd.	106.00000
514286	Ashima Ltd	1284.53876
514294	Kareems Spun Silk Ltd.	65.00000
514298	Integral Knit Co. Ltd.	45.46652
514300	Pioneer Embroideries Ltd.	215.40844
514302	Vippy Spinpro Ltd.	58.70000
514304	S.Kumars Nationwide Ltd.	2974.03377
514306	Garlon Polyfab Industries Ltd.	46.10000
514308	Hanjer Fibres Ltd.	110.80500
514312	Jaihind Synthetics Ltd.	48.00000
514316	Raghuvir Synthetics Ltd.	38.75000
514318	Jattashankar Industries Limite	43.87100
514322	Kamadgiri Fashion Limited	58.69371
514324	Omnitex Industries (India) Ltd	42.04100
514326	Patspin India Ltd.	309.20000
514328	Nachmo Knitex Ltd.	150.29273
514330	Overseas Synthetics Ltd.	71.04707
514332	Neo Infracon Ltd.	53.06800
514336	SSK Lifestyles Limited	100.00000
514344	Binaca Synthetics Resins Ltd.	54.50000
514348	Winsome Yarns Ltd.	707.07229
514354	Premier Polyfilm Ltd.	209.48495
514358	Everlon Synthetics Ltd.	562.22400
514360	Axis Rail India Limited	157.79755
514364	Mukund Syntex Ltd.	4.31000
514366	Citizen Yarns Ltd.	62.98400
514370	Harsh Polymers (India) Ltd.	52.00000
514378	Yarn Syndicate Ltd.	37.50000
514386	Gujarat Cotex Ltd	71.22000
514392	Jai Mata Industries Ltd.	81.80000
514394	Atlas Jewellery India Limited	1006.54533
514400	Garware Synthetics Ltd.	58.08900
514402	Sharad Fibers & Yarn Processor	43.66400
514404	Krishna Synthetics Ltd.	37.90000
514412	SARUP INDUSTRIES LIMITED	32.52400
514414	Oxford Industries ltd.	59.43350
514418	Mangalam Organics Limited	90.52680
514428	Hindustan Adhesives Ltd.	51.16300
514436	Kongarar Integrated Fibres Ltd	32.50000
514438	Superior Sox Ltd	30.00000
514440	Blue Pearl Texspin Limited	2.56000
514442	Sri KPR Industries Ltd	201.45695
514446	LS Industries Limited	8488.18700
514448	Jyoti Resins & Adhesives Ltd	40.00000
514450	Mahalaxmi Rubtech Ltd.	99.70275
514454	Southern Latex Ltd.	73.59200
514456	Metropoli Overseas Ltd.	185.90000
514460	Oswal Yarns Ltd.	40.10000
514464	Tai Chonbang Textile Industrie	215.80000
514470	Winsome Textile Industries Ltd	198.20000
514472	Filaments India Ltd.	51.60000
514474	Fair Deal Filaments Ltd.	60.50000
514478	Terrygold (India) Ltd.	111.00000
514482	Asahi Industries Limited	664.42552
514484	Thambbi Modern Spinning Mills 	57.62770
514486	Polygenta Technologies Ltd.	1460.50651
514490	India Polyspin Ltd.	55.55700
515003	Spartek Ceramics India Ltd.	117.90000
515008	Modern Insulators Ltd.	217.43500
515018	Regency Ceramics Ltd	264.41586
515030	Asahi India Glass Ltd.	2430.89931
515037	Murudeshwar Ceramics Ltd.	429.53922
515043	Saint-Gobain Sekurit India Ltd	911.05700
515053	Gujarat Refractories Ltd.	29.00000
515055	Anant Raj Limited	2950.96335
515059	Madhusudan Industries Ltd.	53.75000
515081	Sri Vajra Granites Ltd.	72.62200
515085	Restile Ceramics Ltd.	982.79239
515093	Madhav Marbles & Granites Ltd.	89.47000
515097	Gee Gee Granites Ltd	45.00000
515099	Vertical Industries Limited	77.96000
515101	Yenepoya Minerals & Granites L	125.00000
515105	Charminar Granites Export Ltd	122.24500
515107	Associated Marmo And Granites 	43.56000
515111	Prakash Ceramics Ltd	34.20000
515115	STI Granite India Limited	100.00000
515127	Rammaica (India) Ltd.	95.25000
515137	Cana Glass Ltd.	58.10000
515143	Haryana Sheet Glass Ltd.	147.57397
515145	Hindusthan National Glass & In	873.38565
515147	Haldyn Glass   Limited	537.51700
515435	Himatsingka Auto Enterprises L	15.00000
516003	Sarda Plywood Industries Ltd.	45.17885
516007	Mangalam Timber Products Ltd.	183.27400
516016	Shreyans Industries Limited.	138.25000
516020	Agio Paper & Industries Limite	161.25400
516022	Star Paper Mills Ltd.	156.08350
516028	Shree Ambeshwar Paper Mills Lt	60.20000
516030	Yash Papers Ltd	323.10000
516032	Sarda Papers Ltd	31.18900
516038	Soma Papers & Industries Ltd.	14.00000
516044	Nayagara Paper Products (I)Ltd	50.00000
516052	Rupal Laminates Ltd.	41.10000
516062	National Plywood Industries Lt	58.53750
516064	Arrow Greentech Limited	117.39948
516068	Mukerian Papers Ltd.	100.10000
516072	Vishnu Chemicals Limited	119.46020
516074	Rana Mohendra Papers Ltd	66.70000
516078	Jumbo Bag ltd.	83.73700
516082	N.R.Agarwal Industries Ltd.	170.19100
516086	Shree Rajeshwaranand Paper Mil	124.50000
516088	Saurashtra Paper & Board Mills	33.20000
516090	Watson Software Ltd.	38.80000
516092	Pudumjee Industries Limited	180.00000
516096	Sangal Papers Ltd.	13.07260
516098	Ventura Textiles Ltd.	184.53289
516106	Shree Karthik Papers Ltd.	191.10000
516108	South India Paper Mills Ltd.	150.00000
516110	Scandent Imaging Limited	321.00000
516112	B.K.Duplex Board Ltd.	55.33020
517001	Birla Power Solutions Ltd.	21351.96905
517015	Vindhya Telelinks Ltd.	118.50863
517035	Ruttonsha International Rectif	69.57240
517041	Ador Welding Ltd.	135.98467
517044	International Data Managements	22.00000
517049	Punsumi India Ltd.	123.30000
517059	Salzer Electronics Ltd.	143.48187
517063	Jetking Infotrain Ltd.	58.89000
517077	Ind-Agiv Commerce Ltd.	10.00000
517080	High Ground Enterprise Limited	1151.15949
517096	Aplab Ltd.	50.00000
517119	PCS Technology Ltd.	209.50677
517140	Moser-Baer (India) Ltd.	2217.65983
517146	Usha Martin Ltd.	3047.41780
517159	Telephone Cables Ltd	98.90000
517164	Zenith Computers Ltd.	154.80840
517166	SPEL Semiconductor Ltd.	461.17443
517168	Subros Ltd.	599.88600
517170	KLK Electrical Limited	26.50000
517172	Pervasive Commodities Limited	0.95220
517174	Honeywell Automation India Ltd	88.41523
517176	Webel Communication Industries	18.00000
517195	ORG Informatics Ltd.	171.70474
517199	National Switchgears Ltd.	10.00000
517201	Switching Technologies Gunther	24.50000
517203	Bee Electronic Machines Ltd	31.80000
517206	Lumax Industries Ltd.	93.47732
517208	Hotline Teletube & Components	50.68200
517214	Spice Mobility Limited	2278.63982
517224	Sujana Universal Industries Lt	1688.41072
517228	Trend Electronics Limited	75.00000
517230	PAE LTd.	104.19600
517236	Calcom Vision Ltd.	56.81156
517238	Dynavision Limited	38.40000
517242	Onida Saka Ltd.	96.76767
517246	BCC Fuba India Ltd.	60.59050
517258	Precision Electronics Ltd.	138.48512
517264	Fine-line Circuits Ltd.	48.07786
517269	Namtech Electronic Devices Ltd	122.50000
517271	HBL Power Systems Ltd.	2530.00000
517273	S & S Power Switchgears Ltd.	62.00000
517282	Transpower Engineering Ltd.	47.80000
517286	Autopal Industries Ltd.	34.96368
517288	Gujarat Poly-Avx Electronics L	85.50000
517296	Phoenix Lamps Limited	280.19300
517300	Gujarat Industries Power Co. L	1512.51188
517320	Savant Infocomm Limited	33.80300
517330	CMI Limited	150.27457
517334	Motherson Sumi Systems Ltd.	14033.97339
517336	Modern Malleables Limited	1165.25000
517340	Mintage  Electro Equipments Lt	57.50000
517344	Mindteck (India) Ltd	253.83895
517354	Havells India Limited	6248.55342
517356	ACI Infocom Ltd.	1104.90900
517360	SBEC Systems (Ind) Ltd.	100.00000
517362	Alacrity Electronics Ltd.	32.50000
517370	Incap Ltd	46.53200
517372	Gujarat Intrux Limited	34.35300
517374	Mukesh Strips Ltd.	36.60000
517378	Electrex (India) Ltd.	94.61200
517380	Igarashi Motors India Ltd.	306.08444
517383	Krisons Electronic System Ltd.	71.10000
517385	Symphony Limited	699.57000
517391	Gamma Infoway Exalt Ltd.	49.42402
517393	Vintron Informatics Ltd.	783.55800
517397	Pan Electronics India Ltd.	40.00000
517399	VXL Instruments Ltd.	133.24800
517403	Sun Source (India) Ltd.	143.90000
517407	Toyama Electric Ltd.	30.00000
517411	Shyam Telecom Ltd.	112.70000
517415	Lee & Nee Softwares (Exports) 	557.74000
517417	Patels Airtemp (I) Ltd.	50.70240
517421	Butterfly Gandhimathi Applianc	178.79551
