25/05/2017
SCRIP CODE	SCRIP NAME	CAPITAL(No. of shares in lacs)
500201	India Glycols Ltd	309.61500
500202	India Lease Devl. Ltd.	147.00291
500206	Margo Finance Limited	45.70000
500207	Indo Rama Synthetics (India) L	1518.22242
500208	Indu Nissan Oxo-Chemical Indus	165.00000
500209	Infosys Ltd	22969.44664
500210	Ingersoll-Rand (India) Ltd.	315.68000
500211	Insilco Ltd	627.15000
500212	Integrated Financial Services 	60.00000
500213	International Travel House Ltd	79.94500
500214	Ion Exchange (India) Ltd	146.66659
500215	Agro Tech Foods Ltd	243.69264
500218	J.K.Pharmachem Ltd.	626.84919
500219	Jain Irrigation Systems Ltd.	4601.66053
500220	Jasch Industries Ltd.	113.30000
500222	JCT Electronics Ltd.	7882.57063
500223	JCT Ltd	5981.25982
500227	Jindal Poly Films Ltd.	437.86413
500228	JSW Steel Limited	24172.20440
500231	Umang Dairies Limited	220.03200
500233	Kajaria Ceramics Ltd	1589.38000
500234	Kakatiya Cement Sugar & Indust	77.73858
500235	Kalyani Steels Ltd	436.53060
500236	Kanel Industries Limited	184.12440
500238	Whirlpool of India Ltd	1268.71830
500239	K.G.Denim Ltd	256.53905
500240	Kinetic Engineering Ltd.	159.06349
500241	Kirloskar Brothers Ltd.	794.08926
500243	Kirloskar Industries Ltd	97.08619
500245	Kirloskar Ferrous Industries L	1373.08081
500246	Envair Electrodyne Ltd.	30.40000
500247	Kotak Mahindra Bank Ltd.	19030.28253
500248	Mavi Industries Limited	77.86300
500249	KSB Pumps Limited.	348.07844
500250	L.g.Balkrishnan & Bros. Ltd.	156.96208
500251	Trent Ltd [Lakme Ltd]	3323.16730
500252	Lakshmi Machine Works Ltd.	109.55504
500253	Lic Housing Finance Ltd.	5046.63000
500254	Uttam Value Steels Limited	66053.20210
500255	L.M.L. Limited	819.84320
500256	Lok Housing & Construction Ltd	467.49291
500257	Lupin Ltd	4516.71062
500259	Lyka Labs Ltd.	220.40000
500260	The Ramco Cements Limited	2380.76780
500262	Mafatlal Finance Co. Ltd.	369.31700
500264	Mafatlal Industries Ltd.	139.12886
500265	Maharashtra Seamless Ltd.	669.99626
500266	Maharashtra Scooters Ltd.	114.28568
500267	Majestic Auto Ltd.	103.97478
500268	Manali Petrochemicals Ltd.	1719.99229
500270	Baroda Rayon Corpn. Ltd.	461.30000
500271	Max Financial Services Limited	2673.11259
500274	Mesco Pharmaceuticals Ltd.	203.20600
500275	MTZ Industries Ltd.	233.50000
500277	Mid India Industries Limited	163.00000
500278	Mideast (India) Ltd.	502.55398
500279	Mirc Electronics Ltd	2117.52619
500280	Century Enka Ltd.	218.50589
500281	Modern Syntex (India) Ltd.	1135.00000
500282	Modern Thread (India) Ltd.	347.75160
500283	Modern Terry Towels Ltd	416.90000
500284	Lords Chloro Alkali Ltd	251.53861
500285	SpiceJet Limited	5994.50183
500286	Montari Industries Ltd.	178.50000
500288	Morepen Laboratories Ltd.	4494.50453
500290	M.R.F. Ltd.	42.41143
500292	HeidelbergCement  India Limite	2266.13116
500294	NCC Limited	5559.31588
500295	Vedanta Limited	37171.94239
500296	Nahar Spinning Mills Ltd.	360.65303
500298	National Peroxide Ltd.	57.47000
500300	Grasim Industries Ltd.	4668.62190
500301	NEPC India Ltd	692.64638
500302	Piramal Enterprises Limited	1725.63100
500303	ADITYA BIRLA NUVO LTD.	1302.57844
500304	NIIT Ltd.	1658.53185
500306	Jaykay Enterprises Limited	371.34752
500307	Nirlon Limited	901.18040
500311	Nuchem Ltd.	296.65471
500312	Oil And Natural Gas Corporatio	128332.35180
500313	Oil Country Tubular Ltd.	442.89530
500314	Oriental Hotels Ltd.	1785.99180
500315	Oriental Bank Of Commerce	3461.70415
500317	Oswal Agro Mills Ltd.	1342.34776
500318	Oswal Spinning & Weaving Mills	912.01100
500319	Indian Sucrose Ltd.	154.61807
500322	Panyam Cements & Mineral Inds.	160.18139
500323	Parekh Platinum Ltd.	381.65785
500325	Reliance Industries Ltd	32514.34572
500327	Pil Italica Lifestyle Limited	2276.00000
500329	Pentamedia Graphics Ltd	4150.26168
500330	Raymond Limited	613.80854
500331	Pidilite Industries Ltd.	5126.82730
500333	Pix Transmissions Ltd.	136.25200
500335	Birla Corporation Ltd.	770.05347
500336	Surya Roshni Ltd.	438.31250
500337	Prime Securities Ltd.	262.21725
500338	Prism Cement Ltd.	5033.56580
500339	Rain Industries Limited	3363.45679
500342	Prudential Sugar Corporation L	154.10000
500343	Pudumjee Pulp & paper Mills Lt	410.00000
500346	Punjab Communications Limited	120.23565
500350	RSWM Limited	235.50842
500354	Rajshree Sugars & Chemicals Lt	281.66700
500355	Rallis India Ltd	1944.68890
500356	Shree Rama Newsprint Limited	1475.22032
500357	Rama Paper Mills Limited	75.81400
500358	Rama Petrochemicals Ltd	104.69400
500360	Rapicut Carbides Ltd.	53.71245
500365	RMG Alloy Steel Limited	1084.35840
500366	Rolta India Ltd.	1646.36362
500367	Rubfila International Ltd.	432.17529
500368	Ruchi Soya Industries ltd.	3341.00722
500370	Salora International Limited	88.07300
500371	Samtel (India) Ltd.	70.87943
500372	Samtel Colour Ltd.	854.92597
500377	Shreeji Phosphate Ltd.	68.00000
500378	Jindal Saw Ltd.	3197.54117
500379	SBI Home Finance Ltd	150.00000
500380	JK Lakshmi Cement Limited	1176.70066
500386	Shamken Spinners Ltd.	337.00000
500387	Shree Cements Ltd.	348.37225
500388	Shree Krishna Paper Mills & In	135.21680
500389	Silverline Technologies Ltd.	599.85488
500390	Reliance Infrastructure Ltd	2629.90000
500391	S.M. Dyechem Ltd.	9.80225
500394	Solid Carbide Tools Ltd	271.05000
500399	Steelco Gujarat Ltd	425.61822
500400	Tata Power Co. Ltd	27047.73510
500402	SPML Infra Limited	366.50276
500403	Sundram Fasteners Ltd.	2101.28370
500404	Sunflag Iron & Steel Co. Ltd.	1802.19448
500405	Supreme Petrochem Ltd.	965.01958
500407	Swaraj Engines Ltd.	124.19820
500408	Tata Elxsi Ltd	311.38220
500410	ACC Ltd	1877.87263
500411	Thermax Ltd.	1191.56300
500412	Thirumalai Chemicals Ltd.	102.38812
500413	Thomas Cook (India) Ltd.	3667.79367
500414	Timex Group India Ltd	1009.50000
500418	Tokyo Plast International Ltd.	95.01400
500420	Torrent Pharmaceuticals Ltd.	1692.16480
500421	TPI India Ltd.	429.63470
500422	Transchem Limited.	122.40000
500425	Ambuja Cements Ltd.	19856.45229
500426	UTL Industries Limited	329.55000
500429	Uniphos Enterprises Limited.	695.45849
500438	Vajra Bearings Ltd.	43.20000
500439	Vardhman Holdings Limited	31.83808
500440	Hindalco Industries Ltd.	22433.52013
500444	West Coast Paper Mills Limited	660.48908
500448	Hindustan Development Corpn. L	1114.60000
500449	Hindustan Organic Chemicals Lt	671.73100
500450	MPIL CORPORATION LIMITED	5.71577
500451	Modern Denim Limited	375.00000
500452	NEPC-Agro Foods Ltd.	194.00000
500456	Pasupati Acrylon Ltd.	891.33121
500458	Kore Foods Limited	116.50000
500459	Procter & Gamble Hygiene & Hea	324.60736
500460	Mukand Ltd.	1414.05861
500463	AGC Networks Limited	284.66464
500464	Ucal Fuel Systems Ltd.	221.13625
500465	Varun Shipping Co. Ltd.	1500.07773
500466	Sterling Holiday Financial Ser	157.50000
500467	Harrisons Malayalam Ltd.	184.55405
500469	Federal Bank Ltd.	17242.68649
500470	TATA STEEL LIMITED	9712.15439
500472	SKF India Ltd.	527.32538
500477	Ashok Leyland Ltd.	28458.76634
500480	Cummins India Ltd.	2772.00000
500483	Tata Communications Limited	2850.00000
500488	Abbott India Ltd.	212.49302
500490	Bajaj Holdings & Investment Li	1112.93510
500493	Bharat Forge Ltd	2327.94316
500495	Escorts Limited	1225.76878
500500	Hindustan Motors Ltd.	2086.59293
500510	Larsen & Toubro Limited	9332.71267
500520	Mahindra & Mahindra Ltd.	6210.92386
500530	Bosch Ltd	305.20740
500540	Premier Limited	303.72570
500547	Bharat Petroleum Corpn. Ltd.	14461.68496
500550	Siemens Ltd.	3561.20255
500570	Tata Motors Ltd.	28873.48428
500575	Voltas Ltd.	3308.84740
500620	Great Eastern Shipping Co. Ltd	1507.77065
500645	Deepak Fertilizers &Petrochemi	882.04943
500650	Excell Industries Ltd.	125.70692
500655	Garware Polyesters Ltd	232.32394
500660	GlaxoSmithkline Pharmaceutical	847.03017
500670	Gujarat Narmada Valley Fert.Co	1554.18783
500672	Novartis India Limited.	281.40797
500674	Sanofi India Ltd	230.30622
500676	GlaxoSmithkline Consumer Healt	420.55538
500680	Pfizer Ltd.	457.47732
500690	Gujarat State Fertilizers & Ch	3984.77530
500696	Hindustan Unilever Ltd.	21643.49639
500710	Akzo Nobel India Limited	479.60314
500720	Futura Polyesters Ltd.	548.71679
500730	NOCIL Ltd	1641.42905
500770	Tata Chemicals Ltd	2547.56278
500777	Tamilnadu Petroproducts Ltd	899.71474
500780	Zuari Global Limited	294.40604
500790	Nestle India Ltd.	964.15716
500800	Tata Global Beverages Limited	6311.29729
500820	Asian Paints Ltd.	9591.97790
500825	Britannia Industries Ltd.	1200.00815
500830	Colgate-Palmolive (India) Ltd.	2719.85634
500840	EIH Ltd	5715.69414
500850	Indian Hotels Co. Ltd	9892.74015
500870	Castrol India Ltd	4945.61192
500875	ITC Ltd	121473.83071
500877	Apollo Tyres Ltd	5090.24770
500878	Ceat Ltd.	404.50092
500890	Modi Rubber Ltd.	250.40532
500940	Finolex Industries Ltd.	1240.95381
500945	Value Industries Limited	391.85675
501110	Sunrise Industrial Traders Ltd	4.99000
501111	Gold Rock Investments Ltd.	7.85600
501144	Peoples Investments Ltd.	2.00000
501146	Bhavi Investments Ltd.	0.50000
501148	Dalal Street Investments Ltd.	3.15074
501150	Centrum Capital Limited	4160.32740
501151	Kartik Investments Trust Ltd.	2.44000
501154	Rose Investments Ltd.	0.50000
501156	Essar Investments Ltd.	12.00000
501178	Suryodaya Investment & Trading	13.32580
