NEATFO|7.0.4|
45759|49775|FUTSTK|ASIANPAINT|XX|1183213800|-1|XX|0|FUTSTK|ASIANPAINT|XX|1185633000|-1|XX|0|111340|-5570|5570|-1115|1670|600|600|5|600|600|5|1|N
49775|64166|FUTSTK|ASIANPAINT|XX|1185633000|-1|XX|0|FUTSTK|ASIANPAINT|XX|1188657000|-1|XX|0|111880|-5595|5595|-1120|1120|600|600|5|600|600|5|1|N
49776|64167|FUTSTK|AUROPHARMA|XX|1185633000|-1|XX|0|FUTSTK|AUROPHARMA|XX|1188657000|-1|XX|0|53330|-2670|2670|-535|535|800|800|5|800|800|5|1|N
45773|49777|FUTSTK|AXISBANK|XX|1183213800|-1|XX|0|FUTSTK|AXISBANK|XX|1185633000|-1|XX|0|50915|-2545|2545|-765|510|1200|1200|5|1200|1200|5|1|N
49777|64168|FUTSTK|AXISBANK|XX|1185633000|-1|XX|0|FUTSTK|AXISBANK|XX|1188657000|-1|XX|0|50675|-2535|2535|-510|510|1200|1200|5|1200|1200|5|1|N
45782|49778|FUTSTK|BAJAJ-AUTO|XX|1183213800|-1|XX|0|FUTSTK|BAJAJ-AUTO|XX|1185633000|-1|XX|0|284180|-14210|14210|-2845|2845|250|250|5|250|250|5|1|N
49778|64177|FUTSTK|BAJAJ-AUTO|XX|1185633000|-1|XX|0|FUTSTK|BAJAJ-AUTO|XX|1188657000|-1|XX|0|285495|-14275|14275|-2855|2855|250|250|5|250|250|5|1|N
49790|49818|FUTSTK|BAJAJFINSV|XX|1183213800|-1|XX|0|FUTSTK|BAJAJFINSV|XX|1185633000|-1|XX|0|402390|-20120|20120|-4025|4025|125|125|5|125|125|5|1|N
49818|64201|FUTSTK|BAJAJFINSV|XX|1185633000|-1|XX|0|FUTSTK|BAJAJFINSV|XX|1188657000|-1|XX|0|404265|-20215|20215|-4045|4045|125|125|5|125|125|5|1|N
45783|49819|FUTSTK|BAJFINANCE|XX|1183213800|-1|XX|0|FUTSTK|BAJFINANCE|XX|1185633000|-1|XX|0|126715|-6335|6335|-1270|1460|500|500|5|500|500|5|1|N
49819|64202|FUTSTK|BAJFINANCE|XX|1185633000|-1|XX|0|FUTSTK|BAJFINANCE|XX|1188657000|-1|XX|0|126890|-6345|6345|-1270|1270|500|500|5|500|500|5|1|N
49830|49831|FUTSTK|BALKRISIND|XX|1183213800|-1|XX|0|FUTSTK|BALKRISIND|XX|1185633000|-1|XX|0|150675|-7535|7535|-1510|1510|400|400|5|400|400|5|1|N
49831|64214|FUTSTK|BALKRISIND|XX|1185633000|-1|XX|0|FUTSTK|BALKRISIND|XX|1188657000|-1|XX|0|150865|-7545|7545|-1510|1510|400|400|5|400|400|5|1|N
49833|49920|FUTSTK|BALRAMCHIN|XX|1183213800|-1|XX|0|FUTSTK|BALRAMCHIN|XX|1185633000|-1|XX|0|16655|-835|835|-170|200|3500|3500|5|3500|3500|5|1|N
49920|64215|FUTSTK|BALRAMCHIN|XX|1185633000|-1|XX|0|FUTSTK|BALRAMCHIN|XX|1188657000|-1|XX|0|16685|-835|835|-170|170|3500|3500|5|3500|3500|5|1|N
45786|49921|FUTSTK|BANKBARODA|XX|1183213800|-1|XX|0|FUTSTK|BANKBARODA|XX|1185633000|-1|XX|0|18140|-910|910|-185|255|3500|3500|5|3500|3500|5|1|N
49921|64216|FUTSTK|BANKBARODA|XX|1185633000|-1|XX|0|FUTSTK|BANKBARODA|XX|1188657000|-1|XX|0|18205|-910|910|-185|185|3500|3500|5|3500|3500|5|1|N
45787|50132|FUTSTK|BANKINDIA|XX|1183213800|-1|XX|0|FUTSTK|BANKINDIA|XX|1185633000|-1|XX|0|14575|-730|730|-330|145|6000|6000|5|6000|6000|5|1|N
50132|64255|FUTSTK|BANKINDIA|XX|1185633000|-1|XX|0|FUTSTK|BANKINDIA|XX|1188657000|-1|XX|0|14400|-720|720|-145|145|6000|6000|5|6000|6000|5|1|N
45578|49732|FUTIDX|BANKNIFTY|XX|1183213800|-1|XX|0|FUTIDX|BANKNIFTY|XX|1185633000|-1|XX|0|2303345|-69100|69100|-23035|23035|40|40|5|40|40|5|1|N
45578|62728|FUTIDX|BANKNIFTY|XX|1183213800|-1|XX|0|FUTIDX|BANKNIFTY|XX|1188657000|-1|XX|0|2303345|-69100|69100|-23035|23035|40|40|5|40|40|5|1|N
49732|62728|FUTIDX|BANKNIFTY|XX|1185633000|-1|XX|0|FUTIDX|BANKNIFTY|XX|1188657000|-1|XX|0|2298610|-68960|68960|-22990|22990|40|40|5|40|40|5|1|N
45788|50133|FUTSTK|BATAINDIA|XX|1183213800|-1|XX|0|FUTSTK|BATAINDIA|XX|1185633000|-1|XX|0|53100|-2655|2655|-535|535|1100|1100|5|1100|1100|5|1|N
50133|64256|FUTSTK|BATAINDIA|XX|1185633000|-1|XX|0|FUTSTK|BATAINDIA|XX|1188657000|-1|XX|0|53330|-2670|2670|-535|535|1100|1100|5|1100|1100|5|1|N
45789|50139|FUTSTK|BEL|XX|1183213800|-1|XX|0|FUTSTK|BEL|XX|1185633000|-1|XX|0|17325|-870|870|-175|320|4500|4500|5|4500|4500|5|1|N
50139|64269|FUTSTK|BEL|XX|1185633000|-1|XX|0|FUTSTK|BEL|XX|1188657000|-1|XX|0|17465|-875|875|-175|175|4500|4500|5|4500|4500|5|1|N
45801|50140|FUTSTK|BEML|XX|1183213800|-1|XX|0|FUTSTK|BEML|XX|1185633000|-1|XX|0|117965|-5900|5900|-1180|1180|600|600|5|600|600|5|1|N
50140|64305|FUTSTK|BEML|XX|1185633000|-1|XX|0|FUTSTK|BEML|XX|1188657000|-1|XX|0|118500|-5925|5925|-1185|1185|600|600|5|600|600|5|1|N
50145|50146|FUTSTK|BERGEPAINT|XX|1183213800|-1|XX|0|FUTSTK|BERGEPAINT|XX|1185633000|-1|XX|0|24445|-1225|1225|-245|245|2200|2200|5|2200|2200|5|1|N
50146|64306|FUTSTK|BERGEPAINT|XX|1185633000|-1|XX|0|FUTSTK|BERGEPAINT|XX|1188657000|-1|XX|0|24545|-1230|1230|-245|245|2200|2200|5|2200|2200|5|1|N
