ScripCode,Scrip ID,Scrip Group,ScripName,Close Price,Daily Upper Value,Daily Lower Value,Weekly Upper Value,Weekly Lower Value,Monthly Upper Value,Monthly Lower Value,Quarterly Upper Value,Quarterly Lower Value,Yearly Upper Value,Yearly Lower Value,Final Upper Value,Final Lower Value,Filler1,Filler2,Filler3,Filler4,Filler5
505703,DECANBRG,XT,DECCAN BEARINGS LTD.,1790,1875,1705,0,0,0,0,3645,755,1880,5,1875,1705,,,,,
505710,GRAUWEIL,XC,GRAUER & WEIL (INDIA) LTD.,3970,4760,3180,0,0,0,0,13690,5,17435,5,4760,3180,,,,,
505711,GAJRA,XT,GAJRA BEVEL GEARS LTD.,225,236,214,0,0,0,0,541,112,727,1,236,214,,,,,
505712,GUJAUTO,XD,GUJARAT AUTOMOTIVE GEARS LTD.,26895,32270,21520,0,0,0,0,76750,5,120710,5,32270,21520,,,,,
505729,SINGER,XC,SINGER INDIA LTD.,23310,27970,18650,0,0,0,0,66780,5,105235,5,27970,18650,,,,,
505737,INTLCOMBQ,XT,INTERNATIONAL COMBUSTION (INDI,66500,69825,63175,0,0,0,0,117375,24205,196055,5,69825,63175,,,,,
505750,JOSTS,XD,JOSTS ENGINEERING CO.LTD.,80000,88000,72000,0,0,0,0,145080,5,250740,5,88000,72000,,,,,
505797,MPCOSEMB,XT,MIPCO SEAMLESS RINGS (GUJARAT),1083,1137,1029,0,0,0,0,2211,456,3235,1,1137,1029,,,,,
505807,ROLCOEN,P,ROLCON ENGINEERING CO.LTD.,11590,11820,11360,0,0,0,0,19005,8115,22480,5795,11820,11360,,,,,
505817,REILELEC,P,REIL ELECTRICALS INDIA LTD.,23165,24320,22010,0,0,0,0,44940,9270,56520,5,24320,22010,,,,,
505827,SNL,XD,SNL BEARINGS LTD.,23785,28540,19030,0,0,0,0,78420,5,111680,5,28540,19030,,,,,
505840,JAIPAN,XT,JAIPAN INDUSTRIES LTD.,2570,2695,2445,0,0,0,0,3210,665,3160,5,2695,2445,,,,,
505850,MANCREDIT,XC,MANGAL CREDIT AND FINCORP LTD.,300,330,270,0,0,0,0,1635,5,3425,5,330,270,,,,,
505872,WPIL,XC,WPIL LTD.,43340,52005,34675,0,0,0,0,155155,5,196110,5,52005,34675,,,,,
505893,HINDHARD,XT,HINDUSTAN HARDY SPICER LTD.,11210,11770,10650,0,0,0,0,19785,4080,48440,5,11770,10650,,,,,
505978,TRITONV,XC,TRITON VALVES LTD.,152035,182440,121630,0,0,0,0,433645,5,624455,5,182440,121630,,,,,
506003,SUDAI,XD,SUDAL INDUSTRIES LTD.,951,998,904,0,0,0,0,1815,375,1925,1,998,904,,,,,
506016,JRIIIL,XT,JRI INDUSTRIES & INFRASTRUCTUR,150,157,143,0,0,0,0,339,70,1332,1,157,143,,,,,
506027,BHRKALM,XD,BHORUKA ALUMINIUM LTD.,67,70,64,0,0,0,0,120,25,126,1,70,64,,,,,
506087,ANUPMAL,P,ANUP MALLEABLE LTD.,1750,1785,1715,0,0,0,0,2870,1225,3395,875,1785,1715,,,,,
506105,STANROS,XD,STANROSE MAFATLAL INVESTMENTS ,16435,19720,13150,0,0,0,0,54425,5,87690,5,19720,13150,,,,,
506107,PRECTRA,P,PRECIOUS TRADING & INVESTMENTS,5000,5250,4750,0,0,0,0,9700,2000,12200,5,5250,4750,,,,,
506120,ALNATRD,P,ALNA TRADING & EXPORTS LTD.,2895,3035,2755,0,0,0,0,5615,1160,7060,5,3035,2755,,,,,
506122,PANKAJPIYUS,XD,Pankaj Piyush Trade & Inv. Ltd,5455,6545,4365,0,0,0,0,17030,5,27905,5,6545,4365,,,,,
506128,PARNAXLAB,XT,PARNAX LAB LTD.,6430,6750,6110,0,0,0,0,11375,2350,18410,5,6750,6110,,,,,
506134,INTELLCAP,XT,INTELLIVATE CAPITAL VENTURES L,990,1009,971,0,0,0,0,2033,868,11516,1,1009,971,,,,,
506142,VYAPAR,XD,VYAPAR INDUSTRIES LTD.,3890,4080,3700,0,0,0,0,7275,1500,5975,5,4080,3700,,,,,
506159,ASISL,XT,ASIS LOGISTICS LIMITED,542,569,515,0,0,0,0,1437,297,1747,1,569,515,,,,,
506161,ISHWATR,XT,ISHWARSHAKTI HOLDINGS & TRADER,319,334,304,0,0,0,0,618,128,778,1,334,304,,,,,
506162,TERRAFORM,P,TERRAFORM MAGNUM LTD.,755,770,740,0,0,0,0,1238,529,1464,378,770,740,,,,,
506166,APIS,XT,APIS INDIA LTD.,1770,1805,1735,0,0,0,0,2900,1240,2285,590,1805,1735,,,,,
506178,ZKHATAUE,XT,KHATAU EXIM LTD.,1000,1050,950,0,0,0,0,1940,400,2440,1,1050,950,,,,,
